SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G6873 0 0 0 0 0 22 0 2 11 0 2 0 0 0 1 10 8 0 36 50 71 58 0 1 0 0 1 1 0 3 12 6 22 30 38 2 0 10 13 0 2 4 8 3 1 232 128 112
ZT3D7_G6874 0 0 0 1 2 22 0 22 21 0 2 0 3 2 2 67 14 0 74 69 97 95 0 5 1 0 0 2 0 7 25 20 26 36 30 13 8 25 99 0 17 47 83 71 117 1403 947 767
ZT3D7_G6875 0 4 0 3 0 521 0 321 315 0 0 0 0 1 9 63 12 0 347 631 897 713 0 1 0 0 6 2 0 5 63 5 149 307 255 22 22 20 317 0 42 56 361 321 425 4185 2470 2536
ZT3D7_G6876 4 18 13 14 5 1169 4 1009 1256 17 11 12 20 13 55 214 124 2 647 910 1363 1311 4 11 2 8 21 15 6 47 373 215 1469 1360 2008 13 19 11 176 2 27 36 121 138 133 1854 1315 1474
ZT3D7_G6877 3 8 3 5 3 369 5 338 459 8 1 5 5 11 21 487 139 1 754 300 507 393 0 3 2 0 7 4 4 24 248 89 308 327 467 9 7 1 50 0 15 31 172 112 84 546 421 508
ZT3D7_G6878 17 20 14 26 8 1427 2 987 1608 37 31 25 38 33 76 1112 540 2 1403 791 1181 1086 7 18 14 15 20 19 10 62 648 401 1324 1256 1826 23 31 14 145 4 36 70 332 327 232 1496 1246 1068
ZT3D7_G6879 2 3 4 10 3 292 0 322 364 4 8 3 4 6 18 80 42 0 193 254 460 280 0 2 2 5 13 6 4 22 119 80 421 419 427 5 13 15 62 3 14 16 77 61 83 451 310 460
ZT3D7_G6880 29 13 10 2 5 2455 25 2687 2365 53 48 21 50 16 56 188 100 15 985 3175 3290 3447 10 44 17 18 6 22 18 30 226 111 2569 2656 3710 36 18 51 316 23 13 28 39 53 80 5474 2920 2873
ZT3D7_G6881 3 4 3 19 4 4712 2 4266 4529 13 14 16 11 14 31 495 87 1 1875 4524 5184 4416 1 15 0 4 22 7 12 25 408 123 4014 4250 6865 11 13 16 388 7 14 15 89 77 119 6643 5764 6175
ZT3D7_G6882 0 0 2 0 1 23 0 9 26 1 1 1 3 1 3 20 11 0 29 17 20 15 0 0 0 0 0 0 0 0 18 10 28 28 29 0 2 0 1 2 4 4 10 11 15 32 29 48
ZT3D7_G6883 4 10 8 7 7 200 4 138 150 43 43 30 80 12 41 326 219 2 370 116 197 169 6 17 7 5 13 14 7 29 134 96 124 78 94 18 12 2 53 5 14 26 101 113 80 277 144 121
ZT3D7_G6884 0 0 0 0 0 62 0 37 91 1 3 5 0 1 0 48 10 0 57 66 97 62 0 0 1 0 0 0 2 0 4 9 70 93 114 0 1 0 3 0 1 0 0 0 0 53 101 94
ZT3D7_G6885 3 84 65 70 56 490 15 669 443 52 40 10 55 86 302 880 985 5 891 686 814 775 19 2 7 60 99 63 51 223 866 591 328 340 398 26 19 5 448 13 122 177 774 1050 763 804 539 579
ZT3D7_G6886 3 5 7 3 3 458 5 432 645 7 9 8 9 5 18 166 78 1 293 314 524 387 3 3 0 2 8 4 2 17 226 76 550 469 834 5 3 7 60 0 10 16 77 79 59 669 553 618
ZT3D7_G6887 3 6 1 2 2 40 0 65 46 13 7 3 11 6 12 26 15 4 49 56 103 68 0 4 0 2 7 1 4 6 44 51 78 108 117 5 2 7 23 2 1 5 9 24 11 117 73 72
ZT3D7_G6888 1 0 1 2 1 186 2 165 239 0 0 1 0 0 1 14 9 0 24 33 82 61 0 0 0 0 0 0 0 4 7 4 58 82 91 1 1 0 8 0 0 0 3 2 1 112 94 164
ZT3D7_G6889 0 2 1 5 5 328 0 400 299 10 3 7 10 1 8 221 125 0 389 355 420 481 1 7 3 2 8 5 2 12 136 68 158 218 268 3 3 8 38 2 7 16 54 42 50 452 293 322
ZT3D7_G6890 2 9 7 3 7 398 1 551 362 6 6 4 2 6 20 100 61 0 237 454 600 504 1 7 1 4 3 2 2 15 112 47 373 441 561 8 2 6 39 0 6 17 63 26 21 409 292 459
ZT3D7_G6891 0 2 4 4 1 452 0 799 515 2 0 6 10 8 14 145 57 0 282 384 535 423 2 4 1 0 5 3 6 10 177 78 514 670 642 9 1 8 37 0 14 8 42 46 52 577 585 676
ZT3D7_G6892 21 369 319 224 220 3814 51 4286 3208 172 200 42 201 263 1172 578 1210 27 1011 3060 4502 3789 167 22 35 258 306 370 304 1267 1573 2622 3148 4623 5598 121 83 15 1889 50 737 518 1978 2395 1320 5483 3382 4676
ZT3D7_G6893 1 10 4 10 10 350 3 344 384 12 8 4 9 11 39 131 80 1 242 275 410 335 0 3 6 12 14 8 1 20 172 52 384 472 480 6 10 6 82 0 13 38 67 51 60 618 391 590
ZT3D7_G6894 0 22 6 11 1 133 3 193 157 11 2 8 10 8 32 41 32 3 157 135 215 186 4 2 3 11 9 16 4 14 138 42 126 150 153 7 5 11 94 0 52 35 75 121 52 371 193 407
ZT3D7_G6895 3 7 5 8 6 615 0 801 625 1 6 6 7 18 34 168 72 2 284 361 755 531 4 4 6 6 5 3 6 15 167 61 763 601 1108 11 10 11 89 0 13 13 54 53 71 1234 632 1027
ZT3D7_G6896 3 1 6 9 0 278 0 406 374 4 10 11 7 4 11 320 113 0 481 589 553 641 7 2 1 1 12 4 5 21 171 89 528 499 701 0 6 8 59 1 7 15 83 47 50 670 354 473
ZT3D7_G6897 0 3 3 6 3 155 2 158 114 4 5 3 4 1 11 52 41 0 105 139 121 123 0 2 2 4 5 6 2 23 48 40 105 114 159 5 1 0 21 0 7 5 22 12 28 72 28 43
ZT3D7_G6898 1 8 6 8 8 419 1 479 261 9 18 9 11 5 42 62 82 0 129 467 356 451 1 8 2 3 1 1 7 24 83 88 317 449 474 2 7 5 149 2 23 25 100 113 53 1212 728 935
ZT3D7_G6899 0 1 2 1 0 104 0 145 47 2 2 0 2 2 12 102 37 0 308 102 264 200 2 1 0 1 6 1 1 7 65 42 79 141 113 0 3 1 32 1 4 3 27 27 21 218 77 270
ZT3D7_G6900 0 0 0 0 0 0 0 3 0 0 0 0 0 2 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 2 0 0 0 0 0
ZT3D7_G6901 0 1 0 0 0 0 1 2 0 0 1 1 1 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 2 0 5 0 1 0 1 0 0 0 0 1 2 0 0 2 3 4
ZT3D7_G6902 0 1 0 0 0 4 0 2 2 1 1 2 1 0 0 3 1 1 11 5 0 0 0 0 1 2 1 0 0 1 5 2 5 0 0 1 0 0 1 0 2 2 0 0 5 3 0 4
ZT3D7_G6903 1 2 2 2 0 81 0 44 93 0 6 0 0 2 10 83 37 2 173 65 121 64 0 5 1 1 2 3 0 19 74 28 139 168 130 4 0 3 5 7 6 6 9 10 26 61 27 41
ZT3D7_G6904 6 15 12 31 7 2481 6 2685 2491 36 55 50 72 38 103 1113 308 12 2136 1315 2170 1912 12 43 10 21 41 19 7 94 1148 305 2649 2455 3250 35 36 24 294 9 56 70 361 388 326 3410 2389 3392
ZT3D7_G6905 4 2 1 0 0 87 1 147 92 3 7 4 4 2 20 34 31 2 139 105 178 172 0 4 1 4 0 1 0 7 95 39 167 120 179 1 6 0 17 0 1 2 25 14 8 184 91 151
ZT3D7_G6906 0 0 0 0 0 0 0 1 0 2 0 0 6 2 8 229 74 0 282 25 84 37 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G6907 0 3 0 1 2 68 3 51 92 10 14 6 7 17 52 585 263 1 979 128 321 139 2 0 1 2 7 2 3 23 122 57 83 106 129 1 3 8 20 0 4 19 42 43 53 98 82 137
ZT3D7_G6908 2 2 2 2 1 21 0 35 27 0 5 2 1 1 6 8 5 0 29 17 39 15 0 0 0 3 0 3 0 3 49 12 39 47 45 4 0 0 6 0 2 1 2 4 0 11 8 15
ZT3D7_G6909 0 6 5 12 10 848 2 840 1142 14 16 6 5 14 36 614 197 0 1141 1060 1658 1505 6 13 3 4 15 13 1 35 527 209 1593 1265 2038 9 9 15 164 2 24 28 140 151 164 1867 1536 1498
ZT3D7_G6910 2 2 8 5 2 133 0 89 210 13 6 9 19 4 11 541 158 3 619 90 135 130 4 10 1 2 11 6 0 10 238 98 190 149 221 3 7 9 34 2 5 17 125 101 73 165 118 144
ZT3D7_G6911 0 2 2 6 6 63 1 53 72 7 8 2 12 6 18 368 127 0 480 50 74 52 0 0 0 1 0 3 0 13 101 30 54 38 31 0 4 6 17 0 5 6 70 42 52 66 65 88
ZT3D7_G6912 2 6 3 14 2 1171 1 1255 1513 9 11 19 8 7 33 685 192 0 1321 2634 2294 2462 1 5 0 5 14 5 5 22 412 120 1287 1636 1792 3 11 10 186 2 16 23 118 92 116 2448 2547 2958
ZT3D7_G6913 2 0 1 2 0 119 0 119 141 0 1 1 0 2 3 36 12 0 28 100 155 134 1 2 0 0 0 2 1 0 44 9 103 77 151 0 1 0 11 0 0 3 0 5 5 158 76 86
ZT3D7_G6914 0 1 2 1 1 913 0 984 895 10 4 7 5 3 15 403 102 0 1189 1196 2206 1907 0 9 1 5 8 2 0 3 284 51 1013 863 1141 3 7 3 208 0 17 27 126 113 76 2612 1711 2562
ZT3D7_G6915 11 9 4 6 7 1205 1 716 1023 11 13 7 13 8 25 199 63 3 381 765 741 919 6 21 12 8 6 4 10 12 97 45 925 650 1079 9 11 4 165 15 10 16 43 28 27 2165 996 831
ZT3D7_G6916 0 3 1 7 4 197 3 153 202 27 10 9 4 7 15 160 64 0 260 310 434 301 0 0 0 0 1 2 3 20 110 40 99 151 203 0 2 6 60 1 5 19 50 40 57 716 492 673
ZT3D7_G6917 1 2 4 11 6 985 1 798 1139 4 5 6 2 13 22 175 86 1 277 635 893 798 10 2 3 2 5 9 2 21 247 108 1242 1183 1722 15 4 9 112 1 13 23 81 98 71 1489 1307 1137
ZT3D7_G6918 5 2 3 7 3 862 3 730 890 18 3 5 5 7 7 506 141 0 846 690 846 635 1 18 3 6 13 5 3 18 233 82 1012 1224 1336 13 10 35 95 0 16 25 108 101 75 1310 1105 1231
ZT3D7_G6919 0 0 1 2 0 9 0 19 13 2 5 2 3 1 12 81 8 0 102 11 27 26 0 3 0 2 2 1 0 21 18 5 28 12 22 4 0 0 4 0 1 5 8 3 3 28 15 22
ZT3D7_G6920 0 1 0 2 1 8 0 12 27 5 6 2 2 2 11 91 51 0 112 14 25 26 0 1 0 2 0 3 1 10 18 24 4 8 7 0 1 7 10 0 3 4 59 37 23 29 39 53
ZT3D7_G6921 0 18 8 14 8 350 4 303 317 17 10 15 11 13 44 450 202 2 785 295 390 405 3 3 2 21 29 15 2 48 382 171 380 458 405 14 8 9 90 4 27 43 148 156 156 451 315 469
ZT3D7_G6922 1 24 16 24 5 618 4 650 796 19 18 10 23 30 74 521 308 2 898 339 621 538 5 18 5 15 30 17 9 43 482 262 643 693 890 5 4 8 103 1 38 66 231 205 200 864 591 806
ZT3D7_G6923 0 1 2 4 2 214 0 182 210 2 0 0 1 5 5 57 24 1 107 112 240 221 0 0 0 2 11 2 1 7 67 30 188 185 334 0 4 0 43 1 6 9 35 38 33 358 215 282
ZT3D7_G6924 0 8 10 16 9 3208 4 2582 3377 20 20 16 8 13 46 615 159 3 1706 2040 2867 2363 7 28 7 14 22 10 9 38 492 134 2805 2810 3890 11 26 51 327 7 25 46 91 111 126 4551 3450 4629
ZT3D7_G6925 7 13 18 29 9 1611 4 1298 1778 24 42 15 43 36 71 1037 578 1 1831 1334 1846 1756 23 21 11 12 26 23 10 83 913 412 2266 2287 2903 20 13 16 195 4 33 64 374 277 298 2088 1789 1559
ZT3D7_G6926 2 3 4 11 1 575 0 513 810 6 5 4 11 4 23 186 63 1 291 626 746 570 1 8 1 2 3 5 2 14 112 71 474 465 729 2 11 18 73 3 20 20 34 44 35 1056 881 953
ZT3D7_G6927 1 3 6 6 4 536 3 472 586 11 4 17 10 5 24 253 90 0 559 479 547 495 0 1 2 2 6 5 3 32 238 56 457 497 766 5 8 6 65 4 2 11 70 63 85 818 685 787
ZT3D7_G6928 1 0 4 7 6 575 0 559 674 11 5 3 8 3 32 342 86 0 669 859 886 851 0 6 1 1 5 8 2 19 139 98 762 830 1082 6 9 10 73 1 8 8 57 44 50 1093 1073 1015
ZT3D7_G6929 0 0 0 3 0 125 0 72 117 3 14 3 4 6 13 182 84 0 293 180 187 141 0 1 0 2 5 2 0 18 61 15 150 144 157 2 3 1 14 1 9 8 37 17 25 161 122 137
ZT3D7_G6930 1 5 4 6 5 166 0 280 84 5 3 5 5 6 27 90 58 1 212 174 257 239 6 4 2 4 6 10 6 26 157 46 189 269 310 2 9 6 65 0 12 20 35 38 37 614 322 589
ZT3D7_G6931 4 3 5 0 2 100 10 107 169 69 112 69 151 11 52 204 132 3 160 104 137 140 8 60 13 19 21 24 3 12 103 22 153 238 160 38 96 27 32 5 105 39 41 85 53 222 148 159
ZT3D7_G6932 3 10 10 21 9 843 1 874 879 41 48 19 59 26 79 410 226 0 929 1393 1640 1616 6 10 13 9 16 6 2 63 410 184 914 911 1261 28 28 24 247 1 37 46 178 184 159 2484 1583 1855
ZT3D7_G6933 1 4 3 6 2 844 2 606 872 9 19 15 5 9 24 309 123 1 535 604 983 713 0 10 5 3 6 4 1 28 196 99 471 631 652 3 13 14 107 0 7 8 52 53 54 1011 657 744
ZT3D7_G6934 23 11 8 20 6 2087 9 1769 2053 81 82 90 97 24 106 547 227 8 892 2893 2588 2746 14 71 15 20 42 28 12 26 363 172 2055 2062 2750 35 50 63 309 18 26 47 135 79 119 4923 3089 2425
ZT3D7_G6935 0 5 1 4 1 81 1 85 73 8 8 11 9 0 11 44 23 0 105 85 135 110 1 2 1 0 4 1 1 12 25 2 21 32 26 6 8 7 18 0 6 7 15 22 30 126 60 74
ZT3D7_G6936 1 1 0 0 0 15 0 5 13 2 7 1 2 0 5 54 19 0 71 9 41 15 0 0 0 4 0 1 1 11 12 4 12 10 5 0 2 0 1 0 1 8 3 4 0 20 5 16
ZT3D7_G6937 12 7 3 3 4 74 2 56 50 135 182 64 191 37 132 242 96 7 81 25 37 30 23 119 30 30 21 24 5 40 163 81 92 131 102 37 58 76 60 0 27 62 126 48 83 387 129 195
ZT3D7_G6938 0 0 0 0 0 17 0 1 7 0 3 0 2 1 3 52 11 0 198 77 134 83 0 0 0 2 1 0 0 4 17 2 7 29 18 0 1 0 5 0 0 8 3 22 20 21 24 30
ZT3D7_G6939 0 4 5 11 0 2744 3 1886 2035 1 2 0 3 2 18 302 56 1 1639 2568 4115 3104 0 0 0 2 3 0 0 8 228 29 703 1059 1044 4 0 1 49 1 8 18 21 33 36 519 265 774
ZT3D7_G6940 0 7 3 6 0 251 2 206 310 6 2 0 8 5 7 146 48 0 211 98 165 148 0 0 0 0 0 1 1 4 61 35 119 170 201 0 0 0 20 0 4 6 14 15 17 199 165 204
ZT3D7_G6941 16 34 34 64 21 10881 16 8692 11459 67 88 77 71 77 180 4677 1738 11 9915 11149 13313 11193 27 68 27 68 87 48 18 210 2173 1223 9754 11955 11738 69 64 87 915 11 97 205 1098 911 960 10675 9881 9550
ZT3D7_G6942 3 18 16 21 15 2844 7 2741 3113 13 23 19 29 19 75 412 212 5 1035 2277 3150 2711 23 10 9 5 11 13 8 69 525 309 2474 2486 3334 13 22 16 311 2 48 50 209 220 177 4082 3232 3324
ZT3D7_G6943 14 3 5 9 8 3904 12 3613 3562 30 14 23 32 27 57 337 176 4 837 2733 2720 2812 5 50 19 20 12 11 5 58 326 123 3358 2894 4262 25 28 19 431 9 31 52 86 113 168 7172 3982 3933
ZT3D7_G6944 4 37 46 97 28 4100 2 1889 3882 26 10 11 26 31 95 782 214 5 2916 2532 3747 3274 19 29 9 30 91 38 18 275 1252 267 1198 1929 1650 39 66 66 388 12 87 114 309 405 718 4062 2783 3981
ZT3D7_G6945 0 11 8 8 10 879 1 630 953 15 10 13 10 10 35 604 216 0 1186 518 805 643 1 9 1 7 13 7 9 11 327 130 875 1144 1173 6 17 11 70 3 9 26 118 97 74 952 921 954
ZT3D7_G6946 1 17 12 22 3 1200 2 851 1337 32 8 15 24 21 77 1180 397 2 1668 639 1456 986 7 30 4 7 17 20 6 38 653 305 1056 991 1276 5 19 17 144 8 53 57 310 272 176 1101 895 1242
ZT3D7_G6947 4 4 4 8 2 308 0 312 337 13 4 10 7 9 37 261 102 1 558 282 600 408 6 6 3 0 10 5 5 50 204 70 563 619 789 2 8 2 86 2 12 10 85 99 89 633 434 749
ZT3D7_G6948 25 41 29 78 35 28422 31 27299 25355 180 222 182 291 84 298 3782 1024 23 12519 34351 30995 29665 52 196 62 70 145 82 53 192 2250 705 24086 25323 30946 134 195 281 2241 47 145 253 709 544 695 35009 27222 36505
ZT3D7_G6949 0 0 0 0 0 22 0 25 29 0 0 1 0 1 0 1 2 0 11 84 121 120 0 0 0 0 0 0 0 0 3 0 23 27 54 0 0 0 8 0 4 0 0 2 0 64 44 60
ZT3D7_G6950 0 1 2 8 3 139 0 178 133 15 4 4 8 7 22 213 96 1 490 814 1078 823 0 2 1 2 7 3 3 18 93 66 186 272 345 0 0 0 40 3 8 8 52 40 40 381 271 498
ZT3D7_G6951 1 4 3 5 1 21 1 8 6 7 4 3 5 13 17 65 102 0 103 8 25 17 2 1 0 0 10 4 2 36 119 58 12 22 15 5 0 2 65 0 9 29 82 132 132 27 20 43
ZT3D7_G6952 74 125 100 112 37 21788 54 17502 27234 241 255 216 328 264 614 5321 3779 22 14771 19412 28763 24070 62 221 82 139 283 210 56 653 8865 4983 25544 23692 29109 142 141 203 1885 38 288 641 3174 3010 2461 20553 14757 12066
ZT3D7_G6953 0 3 0 2 1 56 0 85 51 2 5 3 7 3 6 112 37 0 229 209 325 267 0 0 2 5 0 1 2 7 49 30 148 186 296 0 0 0 38 0 4 5 52 33 19 343 266 379
ZT3D7_G6954 0 0 2 1 1 43 0 45 41 1 0 2 2 3 2 5 6 0 27 17 47 30 0 1 0 0 0 1 3 3 31 13 27 21 36 0 0 3 13 1 11 8 20 17 17 33 24 52
ZT3D7_G6955 5 15 4 20 10 401 7 424 404 21 23 17 17 16 48 120 100 5 263 273 445 395 23 29 3 18 33 12 7 69 277 143 407 415 610 20 22 38 142 4 70 91 160 208 192 698 363 894
ZT3D7_G6956 0 1 0 2 0 25 1 8 12 0 3 2 2 6 14 31 34 0 50 7 28 17 0 1 0 0 2 0 2 3 25 15 17 33 26 0 0 3 5 1 0 8 14 60 8 5 3 9
ZT3D7_G6957 0 2 4 6 2 6 0 0 13 0 1 0 7 24 67 23 91 2 33 3 5 3 3 2 0 5 13 6 3 55 85 68 20 20 21 0 4 0 53 1 19 39 80 282 79 34 20 37
ZT3D7_G6958 6 13 17 20 3 4733 3 4687 3588 10 50 12 21 9 39 441 133 9 1780 4433 4317 4573 7 15 6 10 12 10 12 38 314 125 2672 3147 4101 12 22 13 624 2 24 43 76 72 71 9779 5737 7645
ZT3D7_G6959 0 0 1 2 1 96 0 77 130 1 1 3 2 0 5 17 9 0 12 35 84 89 1 0 0 0 2 1 0 2 33 0 69 65 179 0 0 0 22 2 0 6 5 6 11 204 182 182
ZT3D7_G6960 0 6 7 4 5 135 2 109 187 11 4 1 5 5 26 393 121 2 442 152 226 178 4 4 3 3 12 7 2 42 139 80 138 172 249 7 6 6 49 1 21 13 77 86 100 242 253 340
ZT3D7_G6961 1 0 1 0 3 59 0 23 50 4 2 0 3 0 16 64 24 0 77 46 91 71 0 6 1 1 2 4 0 9 37 11 20 35 24 0 2 0 7 0 5 5 17 16 18 47 33 72
ZT3D7_G6962 3 16 11 22 4 531 3 463 590 22 22 15 28 15 61 1002 349 4 1792 512 806 680 6 17 5 8 18 7 9 61 568 271 916 973 850 18 21 35 130 8 52 58 312 267 267 918 626 1010
ZT3D7_G6963 0 2 7 2 1 459 6 303 341 7 5 5 3 5 27 87 40 2 238 305 472 427 1 2 1 3 13 2 4 14 98 42 214 340 278 6 5 6 62 0 11 17 50 61 45 574 278 677
ZT3D7_G6964 0 2 1 7 2 251 0 197 266 5 3 5 4 10 24 370 122 0 674 188 386 230 3 10 4 4 3 6 1 13 148 68 368 401 415 8 5 15 44 1 9 17 100 78 77 225 182 263
ZT3D7_G6965 0 0 0 0 0 67 0 161 72 0 0 0 0 1 0 44 2 0 129 76 72 83 0 2 0 0 1 0 0 0 21 7 55 41 64 0 0 0 7 0 4 0 7 3 9 71 34 70
ZT3D7_G6966 10 8 9 21 5 1586 5 951 1512 67 41 24 36 18 86 778 256 8 2434 2041 2786 2408 12 43 19 18 28 12 6 58 420 107 987 1287 1286 23 33 48 215 2 33 71 178 175 264 2369 1762 1858
ZT3D7_G6967 24 38 37 43 22 2373 33 2144 2714 203 161 122 318 74 290 2173 1037 18 3451 2019 3184 2478 31 121 34 52 107 55 25 188 1365 728 2831 2078 3302 116 74 167 423 29 143 229 769 558 667 3252 2430 2832
ZT3D7_G6968 0 0 1 9 2 60 0 48 102 9 3 1 6 6 13 89 49 0 89 32 52 45 11 7 1 9 3 4 0 19 117 58 59 40 124 1 5 0 12 1 10 12 41 36 56 110 69 106
ZT3D7_G6969 2 14 10 20 8 1916 4 1581 1697 12 13 5 4 16 29 375 175 2 891 1327 1661 1503 2 22 7 6 18 11 5 41 397 174 1361 1576 2032 15 8 28 199 4 31 37 171 137 115 2788 1900 2295
ZT3D7_G6970 0 1 0 0 0 1895 2 3199 1662 16 32 24 9 0 10 105 29 0 625 1978 1849 2119 2 5 0 0 6 0 0 0 144 34 1400 1875 1597 5 11 0 442 1 5 11 13 11 22 7027 2642 5410
ZT3D7_G6971 2 7 6 3 1 135 1 121 120 11 13 14 9 6 43 65 50 2 83 137 197 154 7 15 0 0 4 3 3 12 76 14 144 140 172 5 8 11 44 3 9 10 27 50 22 205 149 169
ZT3D7_G6972 22 37 27 24 19 913 24 909 1212 140 227 149 276 44 226 564 305 20 790 1082 992 991 33 85 45 60 76 37 31 85 409 300 1095 1055 1432 66 81 56 323 14 96 159 173 218 204 3116 1301 1103
ZT3D7_G6973 0 0 1 1 1 34 0 70 45 4 4 7 5 0 2 27 2 0 16 106 72 55 4 5 2 1 0 0 0 8 12 9 41 70 64 1 2 0 14 2 0 0 2 3 2 204 73 58
ZT3D7_G6974 0 2 3 2 0 74 0 79 90 5 2 1 4 2 2 94 47 2 172 51 72 64 0 0 1 1 4 1 0 6 75 80 93 100 156 0 3 0 23 0 6 2 23 41 34 140 70 90
ZT3D7_G6975 0 2 1 2 2 2728 0 4649 1249 12 10 3 5 1 2 582 44 0 1220 1623 2064 2953 0 0 0 2 13 3 0 40 1153 73 1599 2597 1554 0 6 0 259 0 13 27 49 39 320 3305 1808 3061
ZT3D7_G6976 0 0 0 5 0 1457 0 2793 663 8 4 2 7 0 6 239 16 1 378 955 1224 1356 7 3 1 0 2 0 0 3 383 21 932 1775 1031 10 3 1 185 1 6 28 12 12 227 2680 1907 2305
ZT3D7_G6977 12 6 7 6 4 674 15 645 614 54 44 55 77 19 64 141 163 9 242 830 880 968 7 35 12 13 17 17 6 22 270 71 573 586 821 30 35 28 157 4 35 41 80 71 44 1929 846 1088
ZT3D7_G6978 0 5 5 4 1 520 1 466 539 8 13 7 8 4 32 108 116 2 246 267 453 386 1 8 3 5 9 10 2 15 141 66 417 351 574 0 9 4 89 5 15 23 108 84 102 724 344 508
ZT3D7_G6979 1 8 9 13 10 217 4 255 259 10 3 7 13 6 54 242 103 1 412 162 254 229 7 8 1 5 12 3 6 36 126 48 81 201 168 1 2 1 65 3 19 29 90 77 60 510 244 372
ZT3D7_G6980 2 6 8 9 0 1665 2 543 1526 12 18 8 40 16 43 1589 220 1 3992 5397 6643 6206 1 2 0 1 5 2 0 24 91 29 531 807 1116 6 4 3 114 5 12 14 80 72 51 1514 2294 2136
ZT3D7_G6981 5 13 5 8 6 526 3 836 710 15 7 6 16 4 32 48 42 2 122 293 496 372 6 7 3 9 10 3 6 26 279 56 888 825 1213 9 12 0 117 0 5 12 23 58 61 1420 717 1247
ZT3D7_G6982 252 382 372 591 229 53186 194 34973 60523 790 993 760 1209 770 1874 40679 17203 67 84070 49383 71288 56572 206 657 257 484 764 639 233 1821 23252 13063 58495 55935 72106 530 495 645 4966 163 851 1441 10141 8104 7319 57396 56842 35928
ZT3D7_G6983 2 15 7 16 11 3783 2 2953 3523 33 34 22 15 24 55 677 248 7 2106 3549 4335 4083 6 20 10 23 18 22 8 58 487 269 2803 2801 3810 15 31 17 329 7 28 52 252 167 210 4823 3734 3455
ZT3D7_G6984 0 0 0 0 0 87 0 70 92 0 4 2 6 1 5 52 18 1 96 176 211 164 0 3 1 0 0 1 0 0 11 18 76 145 108 6 5 4 12 0 2 5 6 9 2 193 161 227
ZT3D7_G6985 1 5 12 7 14 768 0 966 551 4 6 1 6 7 22 101 89 0 165 334 220 258 14 0 6 10 10 4 6 17 125 85 489 482 738 12 1 23 66 1 12 22 61 71 49 682 541 858
ZT3D7_G6986 0 18 22 28 18 35 0 43 34 5 6 4 29 15 53 78 84 1 123 96 108 55 13 0 0 6 20 17 10 41 57 19 21 36 50 2 5 6 85 1 25 70 87 117 90 46 36 64
ZT3D7_G6987 0 4 1 3 4 23 0 18 35 0 3 1 2 1 1 32 11 1 107 70 136 108 2 2 0 1 2 6 1 5 19 18 34 29 48 1 3 0 7 0 2 4 9 3 5 82 137 138
ZT3D7_G6988 0 4 4 3 1 104 0 81 115 3 5 2 4 2 13 110 50 0 265 69 114 69 0 2 6 2 6 3 4 6 100 31 87 82 105 3 3 1 43 0 16 17 102 88 106 246 199 240
ZT3D7_G6989 26 12 19 2 10 1937 16 1716 1746 81 67 86 156 25 99 1022 449 13 1159 1836 1962 2350 15 93 24 35 44 22 22 44 388 230 2237 2247 2520 18 19 21 176 29 30 29 181 138 126 1932 1421 1806
ZT3D7_G6990 77 144 122 172 67 25287 63 17030 29365 183 289 175 301 300 622 12460 5698 23 23707 21052 31175 26376 66 185 84 185 256 243 47 722 9610 5591 26039 25748 31757 194 254 333 2411 31 411 678 4106 3320 3074 25459 21932 16233
ZT3D7_G6991 0 8 4 12 3 376 1 393 417 11 5 8 15 13 26 230 89 4 393 240 539 352 0 3 5 3 12 3 5 16 191 97 324 314 534 8 12 7 96 4 22 34 158 101 93 733 614 769
ZT3D7_G6992 0 5 3 9 3 609 2 849 604 13 32 10 16 23 38 155 75 3 399 733 966 982 10 17 10 6 18 8 5 32 140 67 675 723 870 7 9 6 110 2 20 26 48 62 51 1314 536 802
ZT3D7_G6993 0 0 0 0 0 0 0 1 0 0 0 0 4 1 4 31 3 0 61 17 22 15 0 0 0 1 1 1 0 10 13 5 30 36 31 0 1 0 5 0 5 1 17 4 11 86 45 62
ZT3D7_G6994 0 0 0 0 0 12 0 22 17 0 0 0 0 0 0 2 1 0 18 45 68 50 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 1 8 2 2
ZT3D7_G6995 0 6 1 3 0 374 0 405 503 1 5 2 1 9 8 164 71 0 297 271 524 428 1 1 0 4 3 2 1 6 110 52 484 441 787 5 7 6 79 0 9 16 64 73 66 879 768 749
