SRR3724066 SRR3724068 SRR3724070 SRR3724072 SRR3724074 SRR3724076 SRR3724078 SRR3724079 SRR3724081 SRR3724084 SRR3724086 SRR3724088 SRR3724091 SRR3724093 SRR3724095 SRR3724097 SRR3724099 SRR3724101 SRR3724102 SRR3724104 SRR3724106 SRR3724108 SRR3724110 SRR3724113 SRR3724125 SRR3724127 SRR3724129 SRR3724131 SRR3724133 SRR3724134 SRR3724136 SRR3724138 SRR3724140 SRR3724142 SRR3724145 SRR3724147 SRR3724149 SRR3724151 SRR3724153 SRR3724155 SRR3724156 SRR3724158 SRR3724160 SRR3724162 SRR3724164 SRR3724167 SRR3724169 SRR3724171
ZT3D7_G56 0 5 2 6 3 261 2 251 235 3 6 0 3 6 10 41 20 3 133 102 207 149 3 6 4 2 4 2 5 14 98 55 199 204 254 3 4 8 15 0 5 13 33 17 19 168 128 219
ZT3D7_G57 0 1 0 1 0 86 0 62 76 4 5 1 9 1 4 37 22 0 64 155 191 167 3 12 3 7 1 0 0 4 31 5 63 87 92 0 12 4 57 2 23 26 124 126 87 266 205 187
ZT3D7_G58 0 0 2 1 0 96 0 74 63 0 0 0 1 0 4 65 28 0 108 19 51 32 1 0 0 1 1 1 0 9 57 16 42 50 52 1 2 0 20 0 1 3 36 12 29 94 68 134
ZT3D7_G59 0 0 0 1 1 110 0 99 127 0 3 0 4 3 2 154 20 0 229 74 156 80 0 0 0 0 0 0 0 0 3 2 20 58 17 0 0 1 4 0 0 0 14 9 6 42 36 73
ZT3D7_G60 5 5 7 14 6 2062 1 1786 2320 9 16 5 11 3 26 271 135 0 565 1222 1629 1347 0 4 3 3 6 4 3 29 319 155 1329 1111 2075 0 3 5 96 4 7 4 68 57 53 1564 1329 1319
ZT3D7_G61 0 0 1 2 2 284 0 205 278 3 0 0 2 0 1 8 6 0 36 75 150 81 0 0 0 0 1 1 0 3 36 1 263 270 369 0 1 0 29 0 2 5 11 11 17 327 252 264
ZT3D7_G62 0 0 0 4 0 49 0 40 84 1 0 0 0 1 2 25 20 0 77 35 74 34 0 0 0 1 1 0 0 3 11 33 70 104 58 0 0 1 5 0 0 0 0 3 0 12 10 11
ZT3D7_G63 0 9 7 10 5 264 1 310 368 26 10 15 26 3 48 361 232 0 463 203 299 358 6 5 6 12 13 7 2 16 258 171 246 250 387 7 5 13 48 1 19 28 117 109 83 425 256 355
ZT3D7_G64 2 3 9 11 5 235 1 241 279 15 7 11 20 10 27 293 200 2 465 209 206 238 7 9 2 5 5 8 9 18 204 104 208 239 275 12 12 5 66 3 12 39 108 102 89 621 267 342
ZT3D7_G65 0 0 1 0 0 0 0 0 1 2 0 0 0 0 2 3 0 0 3 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G66 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G67 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0
ZT3D7_G69 0 0 0 3 0 114 0 100 124 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 22 7 65 96 72 0 0 0 0 0 0 0 0 0 0 0 0 0
ZT3D7_G70 0 0 0 0 0 8 0 4 4 0 0 0 0 0 0 3 0 0 7 2 8 7 0 0 0 0 0 0 0 0 0 10 7 2 9 0 0 0 0 0 0 0 0 0 0 2 0 1
ZT3D7_G71 16 154 72 230 74 866 17 879 806 160 102 122 222 71 456 564 215 32 909 1164 1758 1353 68 83 29 56 131 235 85 140 662 222 723 955 1123 71 141 83 415 28 207 391 580 419 364 398 302 509
ZT3D7_G72 2 1 3 0 1 103 0 82 109 0 1 0 0 0 1 7 6 0 20 11 30 16 0 0 0 1 8 8 4 14 82 23 127 166 181 2 1 0 21 0 11 11 14 13 19 37 33 44
ZT3D7_G73 0 0 0 1 1 10 0 9 21 0 2 1 1 1 2 52 43 0 81 13 34 15 0 0 0 0 0 0 0 0 9 5 11 5 7 1 0 0 4 0 1 0 4 3 5 7 9 20
ZT3D7_G74 5 5 9 9 4 2801 13 3247 3646 43 60 46 48 22 57 499 145 11 1613 2115 2968 2827 10 64 21 20 28 14 12 46 583 287 2902 2538 3924 39 62 47 362 5 41 48 117 89 112 5409 3774 4166
ZT3D7_G75 0 0 0 4 1 28 1 32 25 1 0 0 1 1 1 20 11 0 19 13 29 25 0 0 0 0 0 0 1 0 1 2 3 15 7 0 0 0 5 0 1 2 1 2 2 11 7 19
ZT3D7_G76 47 20 17 16 9 1252 28 1827 1154 176 218 124 265 26 136 191 155 31 143 565 814 567 33 131 57 53 43 35 41 41 124 52 689 670 968 76 91 53 143 28 64 88 30 31 51 1133 449 936
ZT3D7_G77 0 2 0 2 0 31 0 44 38 0 2 0 1 2 4 12 8 0 23 16 15 20 0 3 0 2 2 2 4 1 28 11 33 24 69 0 0 0 4 0 3 4 21 19 6 41 22 15
ZT3D7_G78 0 1 0 2 0 50 0 22 12 16 25 21 16 2 9 29 24 1 34 107 169 140 1 24 4 0 3 2 0 0 6 0 1 13 9 5 2 9 6 2 11 9 2 2 4 43 25 93
ZT3D7_G79 0 1 1 2 1 25 1 93 34 1 5 4 1 4 3 66 31 0 99 30 29 43 1 3 1 0 1 4 1 5 43 38 118 139 173 2 3 4 9 1 4 7 16 21 20 103 31 30
ZT3D7_G80 0 0 0 0 1 4 0 5 5 1 0 0 2 0 0 5 1 0 4 5 6 0 0 2 0 0 1 1 0 0 14 1 8 16 36 0 1 2 0 0 3 0 8 2 0 6 3 6
ZT3D7_G81 0 2 2 3 1 144 0 102 151 3 1 2 5 2 8 95 51 1 200 100 114 122 1 4 3 0 5 3 2 21 81 61 139 143 221 2 2 1 39 0 7 11 53 40 23 204 155 146
ZT3D7_G82 3 4 2 3 0 215 2 170 226 3 0 1 8 3 7 53 19 2 95 224 289 211 0 4 0 1 4 4 1 4 42 21 257 191 371 0 5 2 21 5 3 11 18 19 15 363 293 254
ZT3D7_G83 345 144 102 109 41 117030 222 145927 136916 248 436 461 401 189 487 12118 2311 99 43421 75725 97790 100451 90 547 227 190 367 189 240 650 15363 8822 98276 97772 125168 531 561 552 7704 277 403 878 5104 2669 2425 118908 69745 61830
ZT3D7_G84 0 1 1 0 0 74 0 40 54 1 0 0 2 0 0 8 1 0 9 17 38 40 0 0 0 0 0 0 0 0 1 0 4 7 6 0 0 0 0 1 1 0 1 1 2 7 1 5
ZT3D7_G85 0 0 2 0 0 90 0 60 84 6 3 2 8 11 19 88 56 0 159 107 134 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
ZT3D7_G86 0 0 0 0 0 0 0 0 0 2 0 2 1 2 9 1 6 0 9 8 11 7 0 1 1 0 0 0 0 0 2 3 2 20 10 0 0 0 1 0 2 0 0 0 0 33 17 16
ZT3D7_G87 0 0 0 0 2 9 0 12 10 0 0 0 0 0 0 5 0 2 23 4 12 12 0 0 0 0 0 0 0 2 7 7 19 7 27 0 0 0 2 0 13 8 20 7 19 23 10 10
ZT3D7_G88 0 1 0 1 0 15 0 7 13 0 0 1 0 0 0 3 3 0 4 9 13 6 0 0 0 0 0 2 0 0 10 3 5 13 20 0 1 0 8 0 0 2 7 3 4 19 5 14
