"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G6997",0,0,0,2,0,23,0,6,17,0,1,0,0,2,1,42,13,1,52,32,29,40,0,0
"ZT3D7_G6998",0,1,2,11,1,349,1,1010,719,8,20,6,4,10,6,492,187,1,1848,306,982,556,0,1
"ZT3D7_G6999",1,3,4,11,3,76,0,84,122,10,5,0,6,3,19,482,203,0,779,112,139,121,4,6
"ZT3D7_G7000",1,3,10,5,2,1500,4,1117,1186,23,26,16,25,13,37,479,214,1,1121,1569,2074,1987,5,5
"ZT3D7_G7001",0,4,1,1,0,95,0,51,97,3,1,0,2,2,6,39,12,0,34,78,110,92,0,0
"ZT3D7_G7002",1,2,1,5,2,1605,1,1290,1232,0,2,1,2,5,5,85,32,0,373,1514,1619,1538,2,1
"ZT3D7_G7003",2,13,3,12,4,1012,1,1006,972,9,4,5,7,5,16,194,49,1,448,952,1407,1164,4,2
"ZT3D7_G7004",0,1,2,3,2,208,0,131,68,0,0,0,0,0,0,50,33,0,154,348,346,284,1,0
"ZT3D7_G7005",0,0,1,3,2,199,2,165,178,3,15,1,4,0,3,121,20,0,298,331,452,415,0,2
"ZT3D7_G7006",0,1,1,5,0,124,0,91,133,34,10,4,10,24,25,635,298,12,661,122,219,149,0,3
"ZT3D7_G7007",2,5,5,20,3,6523,3,5225,5703,15,30,26,21,23,61,1168,283,1,2834,3139,3820,3200,9,5
"ZT3D7_G7008",0,2,1,4,6,259,0,220,262,4,14,6,9,5,16,161,50,0,503,266,281,291,0,0
"ZT3D7_G7009",0,0,1,4,0,47,0,59,39,1,2,0,1,0,3,70,14,2,91,34,41,28,0,0
"ZT3D7_G7010",0,0,0,0,0,38,1,20,24,2,3,0,0,0,0,15,8,0,31,184,187,146,0,0
"ZT3D7_G7011",12,13,9,19,5,1563,6,1493,1710,35,51,35,32,15,77,466,203,10,1095,2281,2672,2626,10,4
"ZT3D7_G7012",1,4,0,2,2,236,1,240,215,4,2,4,6,1,8,21,29,8,112,280,473,383,0,0
"ZT3D7_G7013",0,0,0,0,0,7,0,4,4,1,3,0,1,1,4,14,4,1,16,23,20,19,3,0
"ZT3D7_G7014",3,0,0,0,1,40,0,28,24,1,5,1,3,0,1,14,9,3,18,20,44,29,2,0
"ZT3D7_G7015",98,165,85,133,54,49389,70,31933,56962,308,375,312,491,253,754,9516,4250,48,22896,40472,51249,44877,111,83
"ZT3D7_G7016",66,168,172,221,80,27326,50,17938,33270,235,248,174,305,254,642,12439,5201,17,29902,25403,35798,26301,76,33
"ZT3D7_G7017",0,11,9,21,15,171,2,178,258,8,18,4,7,9,52,420,75,0,908,229,413,263,5,0
"ZT3D7_G7018",1,0,0,1,1,150,1,149,229,3,0,3,0,0,1,50,5,0,65,109,218,120,1,0
"ZT3D7_G7019",2,14,6,11,13,494,2,625,507,26,17,14,25,11,36,157,94,2,497,680,930,816,6,2
"ZT3D7_G7020",11,17,9,13,7,705,3,515,628,39,66,32,61,19,63,780,297,4,1273,723,1035,911,12,9
"ZT3D7_G7021",4,7,4,20,6,1181,3,1019,1152,14,15,16,21,20,49,314,229,2,651,807,1351,1034,7,7
"ZT3D7_G7022",12,8,7,8,8,2590,10,3212,3183,73,55,45,54,14,51,519,140,7,1258,1609,2287,2110,11,14
"ZT3D7_G7023",0,0,0,0,0,39,0,35,44,0,2,3,3,0,4,26,15,0,89,95,168,108,0,0
"ZT3D7_G7024",0,2,2,5,4,39,0,35,80,0,0,1,2,4,14,70,44,0,157,25,54,25,0,1
"ZT3D7_G7025",0,0,0,1,1,4,0,4,8,3,1,5,2,1,0,40,22,0,64,6,15,14,0,2
"ZT3D7_G7026",0,1,2,2,2,75,0,65,54,3,2,3,5,3,9,40,9,0,46,43,91,49,0,1
"ZT3D7_G7027",0,2,2,4,2,397,0,229,335,7,8,10,12,9,57,327,178,0,487,386,536,473,2,0
"ZT3D7_G7028",4,2,1,5,1,114,3,69,160,1,1,7,4,25,2,1399,872,3,1756,104,164,98,5,1
"ZT3D7_G7029",3,3,5,6,2,63,5,77,43,5,24,10,21,2,7,50,26,3,70,85,102,103,1,0
"ZT3D7_G7030",13,35,40,57,29,8016,11,6660,8359,63,107,45,67,63,174,2284,927,7,6021,8031,8954,7452,17,16
"ZT3D7_G7031",2,15,8,40,13,1321,1,1070,1649,24,21,9,16,31,65,1718,472,0,2767,1101,1386,1146,4,5
"ZT3D7_G7032",0,12,4,14,5,69,0,43,49,2,7,4,15,5,33,86,117,0,66,30,57,44,6,0
"ZT3D7_G7033",0,0,1,5,2,4,0,6,11,2,1,0,7,5,13,21,42,1,44,4,4,9,4,0
"ZT3D7_G7034",0,4,3,0,5,74,0,105,94,5,1,2,4,1,13,114,45,0,213,116,153,159,0,0
"ZT3D7_G7035",7,5,9,9,8,1312,6,1052,1347,26,34,13,42,6,33,501,178,4,995,1514,1766,1410,12,11
"ZT3D7_G7036",0,9,12,12,3,298,1,244,384,12,20,4,22,20,37,352,109,1,397,291,414,371,6,1
"ZT3D7_G7037",3,8,6,25,7,2198,0,1776,1547,12,10,22,17,21,36,503,188,1,1008,1867,2100,1844,6,5
"ZT3D7_G7038",1,3,5,11,4,130,0,88,129,1,3,1,2,2,16,151,53,0,307,105,284,191,0,2
"ZT3D7_G7039",0,1,1,3,1,161,3,79,121,1,0,0,5,5,9,85,57,0,155,56,100,85,4,0
"ZT3D7_G7040",0,7,1,14,6,266,1,199,262,6,9,4,9,9,33,251,151,0,565,202,280,241,5,1
"ZT3D7_G7041",27,21,15,10,7,6176,21,6449,5108,59,57,57,103,24,79,1145,706,33,2067,4117,5100,4561,19,41
"ZT3D7_G7042",0,0,0,0,0,12,1,7,11,3,0,1,1,6,8,49,52,0,42,22,21,3,0,0
"ZT3D7_G7043",1,2,4,9,2,152,5,102,168,8,16,11,4,5,11,31,11,1,53,76,149,119,5,0
"ZT3D7_G7044",0,0,1,2,1,36,0,33,28,1,0,0,2,4,12,50,16,0,65,10,29,28,0,0
"ZT3D7_G7045",2,2,2,4,2,329,3,391,298,19,32,25,26,19,48,449,253,1,792,1738,1829,1818,2,0
"ZT3D7_G7046",0,0,0,0,0,0,0,0,0,1,3,2,3,4,10,163,66,0,491,82,150,129,0,0
"ZT3D7_G7047",0,0,0,0,0,0,0,0,0,16,3,4,11,6,15,248,133,0,784,513,793,520,0,0
"ZT3D7_G7048",3,15,9,14,9,905,1,784,1156,23,22,32,39,24,46,495,275,2,868,586,1111,950,9,1
"ZT3D7_G7049",0,0,1,2,1,28,0,27,49,0,2,0,1,0,3,13,4,0,23,22,41,28,0,0
"ZT3D7_G7050",29,12,5,24,8,33753,14,32765,31631,90,209,199,123,45,151,2396,412,11,11841,36215,38829,40499,21,21
"ZT3D7_G7051",0,0,0,0,0,81,0,84,83,0,1,0,1,1,8,11,5,0,19,126,155,119,0,0
"ZT3D7_G7052",0,0,2,2,0,141,0,153,141,0,1,4,5,4,1,218,51,0,402,323,410,373,1,0
"ZT3D7_G7053",1,10,0,2,1,727,0,830,750,5,11,8,2,11,26,586,224,1,906,1177,1143,1085,5,0
"ZT3D7_G7054",2,2,0,3,1,265,0,176,321,11,7,5,4,8,15,288,132,0,500,421,449,346,1,0
"ZT3D7_G7055",11,52,32,60,24,9749,8,8824,10103,150,141,116,266,117,335,2943,1444,10,6472,11956,14884,13755,33,16
"ZT3D7_G7056",4,20,6,30,12,1855,5,1644,2046,29,27,11,21,19,93,1107,488,4,2344,1172,2124,1478,10,6
"ZT3D7_G7057",1,0,1,8,1,47,0,43,70,28,10,5,10,0,12,83,13,0,95,125,235,142,1,0
"ZT3D7_G7058",1,5,5,8,10,23,0,82,53,6,8,1,7,10,17,66,39,3,144,72,202,138,4,1
"ZT3D7_G7059",1,3,7,10,2,373,0,262,471,4,1,2,4,9,17,370,337,1,655,121,271,175,4,1
"ZT3D7_G7060",6,41,30,50,29,5555,5,4418,5808,44,26,32,55,36,132,1148,490,0,3617,4314,6418,5231,14,18
"ZT3D7_G7061",17,12,9,12,4,530,7,524,578,63,34,19,72,20,60,462,284,5,655,480,611,662,14,16
"ZT3D7_G7062",1,5,3,5,0,273,0,166,370,4,3,2,5,5,11,144,70,0,243,106,171,117,1,0
"ZT3D7_G7063",0,1,1,4,0,185,0,223,220,3,1,1,4,1,6,43,14,0,30,90,249,176,2,0
"ZT3D7_G7064",0,0,1,3,0,58,0,63,113,5,1,1,3,8,9,174,76,0,285,202,317,243,0,2
"ZT3D7_G7065",1,9,7,4,3,146,0,109,122,8,6,7,2,11,22,235,127,0,318,154,207,129,4,0
"ZT3D7_G7066",0,17,14,22,12,1065,2,1651,1126,26,10,11,39,12,59,162,102,4,200,622,728,785,23,4
"ZT3D7_G7067",2,28,17,56,30,2875,1,2432,2627,33,17,8,26,35,117,533,187,1,1195,2331,3411,2435,19,6
"ZT3D7_G7068",9,26,23,51,29,6037,7,4697,5547,36,46,40,38,44,157,1671,663,7,3989,3972,5718,4208,16,12
"ZT3D7_G7069",1,5,6,8,6,55,5,66,55,66,79,93,73,14,79,267,96,5,261,125,220,183,13,14
"ZT3D7_G7070",4,17,8,12,11,1836,5,2284,2508,26,47,18,19,19,70,1214,261,6,2515,1492,2135,1828,6,2
"ZT3D7_G7071",7,2,0,1,7,1119,4,947,1144,16,24,24,30,15,27,444,189,10,526,1280,1105,1120,1,3
"ZT3D7_G7072",76,137,111,206,84,25918,62,17510,29564,249,243,216,270,252,607,10982,4649,22,26362,22002,30483,22995,76,46
"ZT3D7_G7073",10,9,8,14,5,1380,1,853,1750,9,20,13,21,12,8,1419,270,3,2197,1603,1319,1175,5,1
"ZT3D7_G7074",2,7,1,9,2,1452,8,1241,1745,9,24,10,14,12,21,770,163,0,1491,1183,1468,1451,0,3
"ZT3D7_G7075",2,0,0,3,2,357,0,451,417,1,2,7,2,2,5,134,23,0,313,339,447,396,1,0
"ZT3D7_G7076",0,4,1,4,0,661,1,771,845,2,2,1,2,5,11,391,60,1,1009,678,968,814,3,0
"ZT3D7_G7077",0,2,3,1,0,46,0,50,70,1,0,3,1,0,1,73,11,2,187,61,102,59,1,0
"ZT3D7_G7078",1,12,6,17,5,1787,4,1567,2153,10,11,6,13,6,26,553,156,1,1397,1256,2056,1652,2,4
"ZT3D7_G7079",1,8,7,10,6,1986,1,1609,2314,2,10,3,7,8,19,471,145,1,1479,1423,2248,1545,4,2
"ZT3D7_G7080",1,0,2,8,2,239,3,179,272,1,0,2,6,3,11,230,83,0,534,228,253,207,0,0
"ZT3D7_G7081",2,11,9,21,10,966,1,1201,1234,19,23,10,25,23,49,667,327,1,2044,1007,1407,1089,8,0
"ZT3D7_G7082",1,12,10,33,15,2355,3,2101,2567,8,13,7,15,21,75,1305,405,1,2838,1529,2503,1974,7,6
"ZT3D7_G7083",4,9,5,9,4,189,0,195,159,4,6,7,11,9,40,435,200,0,614,157,257,219,6,1
"ZT3D7_G7084",0,10,7,22,7,659,0,466,771,8,6,9,9,25,31,1050,391,2,2025,758,1156,824,5,2
"ZT3D7_G7085",0,1,0,1,3,73,0,64,96,3,1,1,1,2,9,20,7,0,56,42,92,60,1,0
"ZT3D7_G7086",2,7,8,10,1,678,0,566,707,5,13,4,23,8,22,115,63,0,166,337,554,424,5,2
"ZT3D7_G7087",0,0,0,0,0,0,0,0,0,1,3,0,4,1,7,75,36,0,87,28,45,48,0,0
"ZT3D7_G7088",4,17,15,25,11,5659,6,4786,5189,27,51,31,28,32,98,1082,419,3,3368,5527,6149,5695,6,13
"ZT3D7_G7089",0,5,4,11,3,251,1,199,274,2,5,2,5,4,17,267,91,0,387,239,356,283,0,0
"ZT3D7_G7090",15,19,19,9,3,4401,9,3604,4572,87,102,62,93,35,134,446,305,11,1031,3096,4232,4437,19,27
"ZT3D7_G7091",6,4,10,18,2,1807,6,1247,1755,48,32,22,55,27,57,1285,420,4,2729,2096,2068,1938,10,11
"ZT3D7_G7092",0,6,9,12,8,520,1,465,413,3,7,2,9,15,34,951,484,1,1340,310,691,467,3,0
"ZT3D7_G7093",0,0,0,0,0,0,0,0,1,0,1,1,1,3,3,276,108,0,302,72,172,117,0,0
"ZT3D7_G7094",0,2,3,4,0,93,0,106,133,0,1,1,1,2,4,156,100,0,197,105,188,117,0,0
"ZT3D7_G7095",8,17,12,27,6,2423,12,1947,2489,42,56,19,38,33,75,774,344,2,1504,1998,2833,2513,12,3
"ZT3D7_G7096",0,1,0,2,0,95,0,76,100,3,0,0,0,0,0,10,5,1,1,27,65,57,1,0
"ZT3D7_G7097",2,6,4,17,4,324,1,265,450,20,10,7,4,10,26,686,219,1,920,336,403,348,3,1
"ZT3D7_G7098",1,23,23,41,29,1984,1,1343,2014,18,8,16,38,22,105,768,256,3,1503,1156,2011,1468,13,1
"ZT3D7_G7099",0,0,1,0,1,309,0,364,280,0,3,0,0,4,4,1375,183,0,3784,2299,2611,2223,0,0
"ZT3D7_G7100",1,172,164,365,137,225,5,202,159,85,69,19,195,306,856,1620,2895,9,1263,212,312,282,116,33
"ZT3D7_G7101",0,0,0,2,0,119,0,119,85,0,0,0,1,0,0,290,23,0,995,700,732,658,0,0
"ZT3D7_G7102",0,2,2,2,1,78,0,81,72,0,1,0,2,1,9,56,6,0,63,98,178,110,2,1
"ZT3D7_G7103",0,1,0,0,0,34,0,26,14,0,7,0,1,2,5,72,26,0,125,47,99,56,0,0
"ZT3D7_G7104",0,3,11,22,13,267,3,259,286,37,23,30,11,13,53,585,197,1,814,218,377,333,1,1
"ZT3D7_G7105",0,0,0,0,0,0,0,0,0,3,1,0,0,3,6,20,9,0,54,125,151,164,0,0
"ZT3D7_G7106",4,0,7,5,2,1277,3,1295,1065,17,45,17,29,12,36,247,93,0,568,1911,2303,1791,1,0
"ZT3D7_G7107",1,2,2,4,3,252,1,236,269,0,1,2,5,2,1,89,59,1,211,106,177,205,4,0
"ZT3D7_G7108",0,5,1,2,1,280,1,239,415,1,2,0,3,0,5,66,28,0,112,295,465,311,0,0
"ZT3D7_G7109",0,1,1,2,0,55,0,70,81,2,3,2,4,3,3,117,51,1,215,101,179,110,1,0
"ZT3D7_G7110",4,2,5,5,3,402,0,410,455,11,5,1,3,3,33,247,138,0,498,281,451,445,5,1
"ZT3D7_G7111",5,6,9,12,6,246,2,483,294,49,18,26,45,10,29,116,56,2,227,398,472,510,3,0
"ZT3D7_G7112",0,3,0,3,4,178,0,151,255,1,5,0,1,3,6,104,56,0,236,151,229,222,0,0
"ZT3D7_G7113",1,5,4,10,3,596,0,453,674,6,10,3,6,7,31,232,101,0,488,486,714,517,3,1
"ZT3D7_G7114",6,10,15,18,14,1688,0,1292,1782,17,22,18,32,21,21,1132,363,3,1642,745,1315,947,5,6
"ZT3D7_G7115",13,26,21,31,3,10395,10,9429,10236,63,112,48,80,44,135,2335,607,9,7040,12405,14983,13944,23,14
"ZT3D7_G7116",6,27,25,43,15,11390,8,11527,12579,25,61,31,52,46,122,1818,492,5,5482,11195,14123,12002,17,13
"ZT3D7_G7117",1,0,1,1,2,314,0,322,446,0,0,0,0,0,3,15,7,1,36,37,95,41,1,0
"ZT3D7_G7118",0,1,0,1,2,203,1,197,302,0,7,2,2,0,11,138,25,0,356,627,785,724,0,0
"ZT3D7_G7119",0,0,0,0,0,14,0,8,28,1,1,1,6,5,0,62,8,0,93,56,129,90,0,0
"ZT3D7_G7120",0,0,0,0,0,147,0,293,449,2,1,1,1,2,6,288,21,0,948,6027,8670,6375,0,0
"ZT3D7_G7121",1,2,3,7,1,291,0,177,325,5,5,0,7,8,29,294,79,0,479,261,472,298,6,0
"ZT3D7_G7122",1,4,3,3,1,1198,2,558,1109,0,4,2,16,5,6,1076,78,0,2394,667,1140,771,1,4
"ZT3D7_G7123",0,11,5,10,3,341,0,296,464,15,11,3,10,6,16,390,123,1,449,301,383,372,7,1
"ZT3D7_G7124",0,8,3,8,3,114,4,128,148,11,13,5,19,10,32,198,95,1,312,77,241,129,2,1
"ZT3D7_G7125",0,0,4,3,0,102,1,90,93,2,1,4,1,0,6,78,22,0,124,132,148,117,0,0
"ZT3D7_G7126",0,0,1,0,1,42,1,39,78,4,13,9,3,1,12,188,43,0,281,77,103,66,0,1
"ZT3D7_G7127",0,1,0,2,0,138,0,86,167,2,1,1,0,6,11,197,53,0,287,65,151,114,0,0
"ZT3D7_G7128",0,0,0,1,0,231,0,588,386,0,0,0,0,0,0,20,5,0,173,122,88,173,0,0
"ZT3D7_G7129",1,1,5,13,4,2863,6,1360,2921,6,6,6,7,3,17,456,102,4,2874,1285,2374,2199,3,1
"ZT3D7_G7130",0,0,0,0,0,16,0,8,22,0,0,2,1,0,1,2,2,0,8,45,41,47,1,0
"ZT3D7_G7131",0,0,0,0,0,167,0,80,154,0,0,0,1,1,3,143,15,0,394,253,436,296,0,0
"ZT3D7_G7132",0,0,0,0,0,5,0,6,5,0,0,0,0,0,0,0,2,0,1,1,5,0,0,0
"ZT3D7_G7133",3,8,1,31,15,7,7,10,13,2,4,0,5,40,37,16,47,4,98,35,75,88,3,2
"ZT3D7_G7134",0,9,5,8,1,18,1,22,12,1,5,0,2,1,2,30,13,1,44,291,262,367,1,0
"ZT3D7_G7135",0,0,0,3,0,987,0,1268,857,0,2,3,0,2,4,564,49,0,1437,2487,3581,3063,0,1
"ZT3D7_G7136",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,29,15,33,37,0,0
"ZT3D7_G7137",2,0,2,9,2,656,2,680,672,6,9,8,5,2,6,138,40,0,341,390,583,467,3,9
"ZT3D7_G7138",49,194,113,198,86,40611,42,37115,45404,274,203,205,356,174,658,5711,2055,28,15792,26346,33691,31211,133,46
"ZT3D7_G7139",2,3,7,17,12,312,4,359,395,27,32,30,42,20,60,282,117,0,467,416,512,509,8,3
"ZT3D7_G7140",0,0,0,0,0,775,0,1056,787,2,6,3,2,1,0,191,76,0,572,1557,1943,1418,0,0
"ZT3D7_G7141",0,1,2,2,4,11759,0,13569,12203,5,10,7,6,6,1,2325,164,0,6475,19345,15911,21462,0,2
"ZT3D7_G7142",0,21,9,16,3,10,0,3,17,33,13,7,41,94,276,78,231,0,159,43,81,57,7,7
"ZT3D7_G7143",0,0,1,1,0,20,0,16,40,2,0,0,0,0,0,5,4,0,15,11,19,22,0,0
"ZT3D7_G7144",1,5,9,16,7,936,3,678,795,25,22,18,20,14,46,359,222,0,611,652,800,831,6,3
"ZT3D7_G7145",0,0,0,0,0,6,0,6,3,2,0,0,2,1,0,22,8,1,28,14,13,20,0,0
"ZT3D7_G7146",6,10,8,12,3,510,0,551,601,35,34,34,27,15,98,392,232,6,1079,817,970,1038,6,1
"ZT3D7_G7147",0,3,1,2,1,40,0,39,45,3,2,5,3,4,15,89,58,0,98,141,136,126,2,8
"ZT3D7_G7148",2,45,40,87,32,222,0,164,272,8,17,12,41,83,390,484,688,1,556,218,395,239,37,5
"ZT3D7_G7149",11,47,47,77,27,7267,7,6831,7483,35,87,50,73,56,200,3429,858,8,10063,12029,15103,12623,43,23
"ZT3D7_G7150",8,8,3,8,5,659,8,498,630,19,18,18,11,15,49,292,130,3,624,432,685,539,6,4
"ZT3D7_G7151",1,9,6,4,5,258,2,236,269,19,15,9,17,14,38,233,134,1,360,248,438,388,2,1
"ZT3D7_G7152",12,23,23,22,7,1811,12,1721,1538,57,66,46,85,9,90,284,125,20,687,1446,2014,1881,26,25
"ZT3D7_G7153",4,1,3,13,1,22,7,16,16,32,76,64,18,5,7,59,34,4,42,24,41,13,8,3
"ZT3D7_G7154",0,0,1,1,1,6,0,8,14,0,1,0,3,2,2,11,10,1,13,36,37,35,0,1
"ZT3D7_G7155",7,40,34,39,15,4,2,3,8,8,14,12,24,27,133,144,400,2,152,10,33,11,24,2
"ZT3D7_G7156",0,10,7,6,4,41,0,29,41,1,5,1,3,9,15,21,48,1,29,37,95,74,6,0
"ZT3D7_G7157",0,0,1,0,1,1,0,0,3,25,77,39,24,12,47,240,177,0,149,85,157,108,0,0
"ZT3D7_G7158",0,1,6,5,6,23,4,22,50,4,15,4,7,0,23,25,6,2,10,33,42,51,6,0
"ZT3D7_G7159",5,63,61,92,58,21,4,9,48,10,6,1,8,6,44,66,38,1,58,57,35,37,56,0
"ZT3D7_G7160",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,21,7,0,11,11,15,9,0,0
"ZT3D7_G7161",6,52,46,72,28,34,9,16,50,0,0,0,0,1,0,25,8,4,48,31,13,28,47,10
"ZT3D7_G7162",1,2,4,3,0,174,0,176,220,6,7,10,9,7,22,105,39,4,128,158,245,218,2,0
"ZT3D7_G7163",2,7,6,15,3,487,2,547,596,10,17,9,18,18,48,663,290,3,1003,552,886,738,7,0
"ZT3D7_G7164",1,1,2,3,2,462,0,404,518,1,5,6,8,1,18,193,69,4,399,205,493,278,3,1
"ZT3D7_G7165",42,15,17,20,8,9885,36,12687,11255,94,143,86,135,27,117,898,299,26,2810,7472,8492,8530,29,41
"ZT3D7_G7166",2,23,27,18,21,724,6,716,665,37,15,15,39,22,101,1083,386,8,1452,336,676,551,16,9
"ZT3D7_G7167",2,7,4,5,4,278,0,290,365,4,3,1,1,4,28,114,45,1,248,145,306,308,1,3
"ZT3D7_G7168",0,11,4,14,3,773,2,630,1013,9,3,2,12,14,42,418,204,1,801,393,640,564,0,2
"ZT3D7_G7169",0,0,0,1,2,10,0,1,7,2,0,0,0,0,0,16,18,0,58,4,13,10,0,0
"ZT3D7_G7170",0,0,2,5,1,399,0,398,379,1,7,1,6,0,7,174,58,2,607,311,561,403,2,0
"ZT3D7_G7171",0,0,15,23,1,2785,3,4605,1163,23,10,7,5,48,17,2093,2220,0,2668,2759,3353,3400,4,0
"ZT3D7_G7172",0,1,0,1,1,114,0,146,77,1,3,0,6,2,1,122,16,0,277,358,290,337,0,0
"ZT3D7_G7173",0,2,3,4,1,394,0,195,307,2,5,3,1,4,15,98,52,0,277,425,489,406,1,1
"ZT3D7_G7174",2,8,13,14,8,643,3,604,900,24,17,7,19,19,37,316,224,6,641,686,881,860,9,2
"ZT3D7_G7175",2,2,2,7,2,396,0,362,504,10,8,3,21,2,23,54,19,0,37,237,380,407,1,1
"ZT3D7_G7176",2,13,10,12,4,1207,1,800,1270,8,6,15,15,20,39,799,286,3,1068,893,1373,1035,5,0
"ZT3D7_G7177",5,13,8,17,13,327,3,310,449,32,26,16,37,19,57,694,314,6,791,394,431,376,14,4
"ZT3D7_G7178",0,1,1,2,0,147,1,148,127,1,1,4,1,4,5,73,23,0,66,115,182,143,0,0
"ZT3D7_G7179",0,4,0,5,1,62,0,79,122,3,0,2,2,2,19,83,39,1,216,82,91,95,0,1
"ZT3D7_G7180",14,501,312,512,267,233,47,179,259,275,193,168,323,218,1181,865,1387,29,658,293,369,390,238,63
"ZT3D7_G7181",1,6,7,8,3,577,5,573,516,4,9,6,17,7,43,233,87,0,787,594,1059,695,10,0
"ZT3D7_G7182",5,6,1,4,1,174,2,167,196,10,8,8,8,5,18,73,63,0,206,171,398,289,0,2
"ZT3D7_G7183",0,0,0,0,0,0,0,0,1,1,5,4,0,0,0,22,2,0,35,113,97,91,0,0
"ZT3D7_G7184",7,4,6,7,2,978,3,701,852,83,43,29,69,30,93,1740,699,3,2667,2023,2542,2226,5,10
"ZT3D7_G7185",1,1,1,5,2,1069,0,399,2095,2,14,6,6,1,19,1055,583,2,3627,276,1605,613,2,0
"ZT3D7_G7186",0,3,2,8,0,72,0,83,83,6,3,0,6,3,15,116,71,0,222,70,73,71,0,0
"ZT3D7_G7187",1,25,13,23,10,2221,2,1880,2411,17,26,6,18,17,94,396,156,2,1668,1582,2593,1905,21,0
"ZT3D7_G7188",0,8,7,3,3,234,1,393,260,24,30,19,24,5,29,19,26,1,122,368,506,469,5,1
"ZT3D7_G7189",28,11,13,19,7,2744,22,1799,2659,59,115,94,143,21,90,476,242,14,813,1424,1960,1673,8,12
"ZT3D7_G7190",23,47,25,29,12,7627,15,6768,7943,135,93,78,124,58,216,827,478,14,2222,6017,8112,7517,24,36
"ZT3D7_G7191",0,1,2,4,2,107,0,154,121,4,8,1,8,15,17,120,117,1,270,98,223,131,1,1
"ZT3D7_G7192",0,5,1,2,2,596,1,679,658,6,16,7,6,2,14,136,56,3,721,1078,1317,1526,3,1
"ZT3D7_G7193",0,6,3,11,1,417,0,343,499,13,4,9,5,10,18,155,66,3,357,425,790,566,1,2
"ZT3D7_G7194",0,0,0,3,0,28,0,23,41,2,0,0,1,2,6,32,25,0,87,82,164,86,0,1
"ZT3D7_G7195",0,6,6,11,0,596,1,451,570,17,7,11,19,2,18,344,94,0,630,1299,1118,1176,4,2
"ZT3D7_G7196",0,2,2,2,4,2156,1,1258,1693,7,9,5,3,3,16,340,66,1,1151,1361,1735,1756,1,3
"ZT3D7_G7197",1,5,7,9,8,44,3,34,36,24,12,5,10,16,78,183,163,1,228,229,424,297,1,4
"ZT3D7_G7198",0,0,2,1,1,9,0,6,18,0,0,0,1,0,1,5,4,0,12,28,21,20,0,0
"ZT3D7_G7199",1,3,0,3,1,99,3,77,114,6,10,9,4,1,13,17,21,0,59,83,133,135,1,0
"ZT3D7_G7200",4,24,12,33,12,4497,8,3414,5578,33,34,39,36,37,105,1610,387,4,4135,4036,6106,4660,13,3
"ZT3D7_G7201",0,13,5,10,3,460,0,435,520,4,8,5,9,8,35,226,98,0,485,314,505,446,2,8
"ZT3D7_G7202",0,2,3,4,5,188,0,219,230,1,0,2,1,4,4,200,34,0,340,187,339,238,0,0
"ZT3D7_G7203",3,4,5,6,3,582,2,557,564,26,30,25,24,8,17,244,80,5,551,733,860,773,2,6
"ZT3D7_G7204",8,14,13,35,12,536,6,541,624,35,13,22,34,13,83,313,210,3,519,382,799,510,6,2
"ZT3D7_G7205",0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,15,2,0,24,28,29,30,0,0
"ZT3D7_G7206",0,0,0,0,0,2,0,0,4,0,0,1,1,3,7,18,7,0,48,25,37,31,0,0
"ZT3D7_G7207",0,0,0,0,0,0,0,0,0,2,5,1,4,1,7,48,28,0,158,22,41,24,0,0
"ZT3D7_G7208",0,2,0,0,0,9,0,11,7,8,2,0,6,3,19,68,25,1,111,30,66,40,0,0
"ZT3D7_G7209",1,21,16,24,11,194,5,230,340,15,5,2,17,17,43,203,90,4,350,256,429,338,9,5
"ZT3D7_G7210",0,0,0,0,0,68,0,54,90,0,0,1,0,0,0,3,0,0,5,46,61,78,0,0
"ZT3D7_G7211",5,5,7,9,5,1130,11,1068,1393,37,43,43,28,8,35,447,109,3,894,1177,1149,1240,4,5
"ZT3D7_G7212",2,5,7,9,4,774,0,594,883,17,9,9,10,11,21,639,144,0,1257,860,1108,912,6,2
"ZT3D7_G7213",2,0,1,6,2,660,0,564,638,5,9,7,8,5,20,239,69,0,562,586,975,756,4,0
"ZT3D7_G7214",19,14,10,92,37,5504,14,5153,6324,209,81,102,62,35,69,3851,574,12,9469,2746,6648,4100,28,48
"ZT3D7_G7215",1,15,6,13,3,255,1,227,240,13,8,7,25,8,75,449,172,2,776,296,459,334,5,4
"ZT3D7_G7216",0,21,18,14,17,2964,3,2979,2356,11,23,5,26,32,143,507,215,2,2155,3306,3286,2838,10,2
