"","3D1-1-7d_R1","3D1-8-12d_R1","3D1-7-14d_R1","3D1-9-14d_R1","3D1-10-14d_R1","3D1-1-28d_R1","3D1-2-7d_R1","3D1-4-28d_R1","3D1-5-28d_R1","3D7-2-7d_R1","3D7-8-7d_R1","3D7-10-7d_R1","3D7-2-12d_R1","3D7-3-12d_R1","3D7-6-12d_R1","3D7-4-14d_R1","3D7-5-14d_R1","3D1-3-7d_R1","3D7-10-14d_R1","3D7-1-28d_R1","3D7-5-28d_R1","3D7-10-28d_R1","3D1-2-12d_R1","3D1-5-12d_R1"
"ZT3D7_G3527",0,6,2,1,1,270,0,336,332,4,4,5,4,1,11,132,22,0,259,186,390,257,4,0
"ZT3D7_G3528",0,0,0,0,0,8,0,2,7,0,0,0,2,1,3,26,8,0,26,4,4,7,0,0
"ZT3D7_G3529",2,0,0,3,3,45,0,49,62,2,1,6,2,2,6,224,63,1,403,93,118,118,2,0
"ZT3D7_G3530",0,2,2,2,0,103,0,79,154,8,5,6,3,2,13,131,32,0,238,202,263,231,3,0
"ZT3D7_G3531",0,1,2,2,2,184,0,164,225,5,5,4,8,2,12,26,13,0,52,196,260,270,1,0
"ZT3D7_G3532",5,3,4,4,0,255,0,221,317,2,3,1,1,2,4,28,2,1,21,12,15,13,1,1
"ZT3D7_G3533",0,1,0,0,0,137,0,176,117,4,4,1,8,1,2,52,7,1,189,355,399,308,0,1
"ZT3D7_G3534",2,7,10,17,7,777,2,679,700,10,7,4,22,13,66,496,187,0,1165,381,1013,627,4,3
"ZT3D7_G3535",1,0,0,0,1,6,3,8,0,0,4,4,3,0,2,0,2,0,22,3,8,4,0,0
"ZT3D7_G3536",0,2,0,1,1,116,0,63,73,0,0,0,0,0,3,17,4,0,24,5,13,16,0,0
"ZT3D7_G3537",0,0,2,5,0,32,0,24,35,0,0,0,0,0,1,0,5,0,22,12,21,14,1,0
"ZT3D7_G3538",1,16,2,6,2,419,4,521,516,30,19,27,35,4,54,90,64,1,135,333,650,565,5,7
"ZT3D7_G3539",3,63,25,51,44,118,6,77,137,43,34,20,35,10,101,100,52,6,212,198,301,211,40,4
"ZT3D7_G3540",0,0,0,0,0,21,0,13,10,4,4,1,3,2,2,32,13,0,23,193,288,166,0,1
"ZT3D7_G3541",14,56,42,46,18,10074,12,7604,10035,63,85,78,76,106,236,3292,1799,10,7447,7557,9794,8139,37,19
"ZT3D7_G3542",14,32,18,34,18,3643,10,3633,3442,50,55,51,76,29,125,324,210,7,675,2245,3347,3308,25,8
"ZT3D7_G3543",6,7,6,7,2,271,3,227,258,20,8,10,11,9,28,147,70,1,253,132,284,168,7,4
"ZT3D7_G3544",3,2,0,0,0,4,3,46,9,10,111,61,14,7,27,47,48,2,86,58,118,133,2,1
"ZT3D7_G3545",0,4,2,5,0,450,0,341,491,5,0,2,1,4,8,74,51,0,143,222,370,308,1,0
"ZT3D7_G3546",7,4,7,6,4,700,3,465,940,27,25,18,16,9,52,365,182,5,529,630,811,770,7,6
"ZT3D7_G3547",0,22,8,19,8,63,2,95,90,19,25,17,35,32,97,61,143,3,143,101,191,104,19,1
"ZT3D7_G3548",0,5,4,7,5,579,1,459,553,2,6,1,6,4,29,89,42,0,247,405,571,581,5,0
"ZT3D7_G3549",20,8,10,9,10,20856,5,24784,22350,45,61,110,85,28,102,2528,361,2,8067,18123,21475,22655,17,11
"ZT3D7_G3550",1,1,1,1,0,95,1,181,165,8,9,10,8,6,7,39,12,0,88,105,118,125,3,1
"ZT3D7_G3551",2,6,6,13,4,340,3,358,381,29,25,23,28,7,55,396,176,3,624,312,639,498,3,3
"ZT3D7_G3552",1,1,0,1,0,351,0,752,414,9,28,14,9,1,10,72,16,2,212,666,784,941,2,0
"ZT3D7_G3553",0,6,4,9,1,379,0,394,446,4,3,2,6,3,12,180,56,0,391,266,341,305,1,2
"ZT3D7_G3554",0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,1,0,0,0,2,4,1,0,0
"ZT3D7_G3555",0,0,0,1,0,1,0,2,1,1,0,0,0,1,0,32,3,0,25,10,11,18,0,0
"ZT3D7_G3556",2,6,4,7,5,277,2,378,285,12,11,18,9,14,35,154,100,1,374,258,394,302,4,2
"ZT3D7_G3557",1,4,5,9,16,240,2,425,229,25,36,36,39,22,48,434,242,1,522,558,567,644,7,4
"ZT3D7_G3558",0,2,3,1,1,3,0,11,6,0,0,0,0,1,4,18,5,0,28,5,11,2,0,0
"ZT3D7_G3559",9,18,8,19,4,1194,8,1083,1111,21,18,26,26,10,50,523,193,2,862,781,1103,1088,19,5
"ZT3D7_G3560",0,7,1,0,1,20,1,34,46,1,12,1,14,5,12,78,24,3,212,164,220,188,1,0
"ZT3D7_G3561",0,0,0,0,0,2,0,3,1,0,1,0,0,0,2,0,0,0,0,0,2,1,0,1
"ZT3D7_G3562",1,10,3,14,3,472,1,556,539,3,8,1,9,10,26,189,70,1,393,472,619,519,1,1
