"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G6943",5,50,19,20,12,11,58,326,123,3358,2894,4262,25,28,19,431,31,52,86,113,168,7172,3982,3933
"ZT3D7_G6944",19,29,9,30,91,38,275,1252,267,1198,1929,1650,39,66,66,388,87,114,309,405,718,4062,2783,3981
"ZT3D7_G6945",1,9,1,7,13,7,11,327,130,875,1144,1173,6,17,11,70,9,26,118,97,74,952,921,954
"ZT3D7_G6946",7,30,4,7,17,20,38,653,305,1056,991,1276,5,19,17,144,53,57,310,272,176,1101,895,1242
"ZT3D7_G6947",6,6,3,0,10,5,50,204,70,563,619,789,2,8,2,86,12,10,85,99,89,633,434,749
"ZT3D7_G6948",52,196,62,70,145,82,192,2250,705,24086,25323,30946,134,195,281,2241,145,253,709,544,695,35009,27222,36505
"ZT3D7_G6949",0,0,0,0,0,0,0,3,0,23,27,54,0,0,0,8,4,0,0,2,0,64,44,60
"ZT3D7_G6950",0,2,1,2,7,3,18,93,66,186,272,345,0,0,0,40,8,8,52,40,40,381,271,498
"ZT3D7_G6951",2,1,0,0,10,4,36,119,58,12,22,15,5,0,2,65,9,29,82,132,132,27,20,43
"ZT3D7_G6952",62,221,82,139,283,210,653,8865,4983,25544,23692,29109,142,141,203,1885,288,641,3174,3010,2461,20553,14757,12066
"ZT3D7_G6953",0,0,2,5,0,1,7,49,30,148,186,296,0,0,0,38,4,5,52,33,19,343,266,379
"ZT3D7_G6954",0,1,0,0,0,1,3,31,13,27,21,36,0,0,3,13,11,8,20,17,17,33,24,52
"ZT3D7_G6955",23,29,3,18,33,12,69,277,143,407,415,610,20,22,38,142,70,91,160,208,192,698,363,894
"ZT3D7_G6956",0,1,0,0,2,0,3,25,15,17,33,26,0,0,3,5,0,8,14,60,8,5,3,9
"ZT3D7_G6957",3,2,0,5,13,6,55,85,68,20,20,21,0,4,0,53,19,39,80,282,79,34,20,37
"ZT3D7_G6958",7,15,6,10,12,10,38,314,125,2672,3147,4101,12,22,13,624,24,43,76,72,71,9779,5737,7645
"ZT3D7_G6959",1,0,0,0,2,1,2,33,0,69,65,179,0,0,0,22,0,6,5,6,11,204,182,182
"ZT3D7_G6960",4,4,3,3,12,7,42,139,80,138,172,249,7,6,6,49,21,13,77,86,100,242,253,340
"ZT3D7_G6961",0,6,1,1,2,4,9,37,11,20,35,24,0,2,0,7,5,5,17,16,18,47,33,72
"ZT3D7_G6962",6,17,5,8,18,7,61,568,271,916,973,850,18,21,35,130,52,58,312,267,267,918,626,1010
"ZT3D7_G6963",1,2,1,3,13,2,14,98,42,214,340,278,6,5,6,62,11,17,50,61,45,574,278,677
"ZT3D7_G6964",3,10,4,4,3,6,13,148,68,368,401,415,8,5,15,44,9,17,100,78,77,225,182,263
"ZT3D7_G6965",0,2,0,0,1,0,0,21,7,55,41,64,0,0,0,7,4,0,7,3,9,71,34,70
"ZT3D7_G6966",12,43,19,18,28,12,58,420,107,987,1287,1286,23,33,48,215,33,71,178,175,264,2369,1762,1858
"ZT3D7_G6967",31,121,34,52,107,55,188,1365,728,2831,2078,3302,116,74,167,423,143,229,769,558,667,3252,2430,2832
"ZT3D7_G6968",11,7,1,9,3,4,19,117,58,59,40,124,1,5,0,12,10,12,41,36,56,110,69,106
"ZT3D7_G6969",2,22,7,6,18,11,41,397,174,1361,1576,2032,15,8,28,199,31,37,171,137,115,2788,1900,2295
"ZT3D7_G6970",2,5,0,0,6,0,0,144,34,1400,1875,1597,5,11,0,442,5,11,13,11,22,7027,2642,5410
"ZT3D7_G6971",7,15,0,0,4,3,12,76,14,144,140,172,5,8,11,44,9,10,27,50,22,205,149,169
"ZT3D7_G6972",33,85,45,60,76,37,85,409,300,1095,1055,1432,66,81,56,323,96,159,173,218,204,3116,1301,1103
"ZT3D7_G6973",4,5,2,1,0,0,8,12,9,41,70,64,1,2,0,14,0,0,2,3,2,204,73,58
"ZT3D7_G6974",0,0,1,1,4,1,6,75,80,93,100,156,0,3,0,23,6,2,23,41,34,140,70,90
"ZT3D7_G6975",0,0,0,2,13,3,40,1153,73,1599,2597,1554,0,6,0,259,13,27,49,39,320,3305,1808,3061
"ZT3D7_G6976",7,3,1,0,2,0,3,383,21,932,1775,1031,10,3,1,185,6,28,12,12,227,2680,1907,2305
"ZT3D7_G6977",7,35,12,13,17,17,22,270,71,573,586,821,30,35,28,157,35,41,80,71,44,1929,846,1088
"ZT3D7_G6978",1,8,3,5,9,10,15,141,66,417,351,574,0,9,4,89,15,23,108,84,102,724,344,508
"ZT3D7_G6979",7,8,1,5,12,3,36,126,48,81,201,168,1,2,1,65,19,29,90,77,60,510,244,372
"ZT3D7_G6980",1,2,0,1,5,2,24,91,29,531,807,1116,6,4,3,114,12,14,80,72,51,1514,2294,2136
"ZT3D7_G6981",6,7,3,9,10,3,26,279,56,888,825,1213,9,12,0,117,5,12,23,58,61,1420,717,1247
"ZT3D7_G6982",206,657,257,484,764,639,1821,23252,13063,58495,55935,72106,530,495,645,4966,851,1441,10141,8104,7319,57396,56842,35928
"ZT3D7_G6983",6,20,10,23,18,22,58,487,269,2803,2801,3810,15,31,17,329,28,52,252,167,210,4823,3734,3455
"ZT3D7_G6984",0,3,1,0,0,1,0,11,18,76,145,108,6,5,4,12,2,5,6,9,2,193,161,227
"ZT3D7_G6985",14,0,6,10,10,4,17,125,85,489,482,738,12,1,23,66,12,22,61,71,49,682,541,858
"ZT3D7_G6986",13,0,0,6,20,17,41,57,19,21,36,50,2,5,6,85,25,70,87,117,90,46,36,64
"ZT3D7_G6987",2,2,0,1,2,6,5,19,18,34,29,48,1,3,0,7,2,4,9,3,5,82,137,138
"ZT3D7_G6988",0,2,6,2,6,3,6,100,31,87,82,105,3,3,1,43,16,17,102,88,106,246,199,240
"ZT3D7_G6989",15,93,24,35,44,22,44,388,230,2237,2247,2520,18,19,21,176,30,29,181,138,126,1932,1421,1806
"ZT3D7_G6990",66,185,84,185,256,243,722,9610,5591,26039,25748,31757,194,254,333,2411,411,678,4106,3320,3074,25459,21932,16233
"ZT3D7_G6991",0,3,5,3,12,3,16,191,97,324,314,534,8,12,7,96,22,34,158,101,93,733,614,769
"ZT3D7_G6992",10,17,10,6,18,8,32,140,67,675,723,870,7,9,6,110,20,26,48,62,51,1314,536,802
"ZT3D7_G6993",0,0,0,1,1,1,10,13,5,30,36,31,0,1,0,5,5,1,17,4,11,86,45,62
"ZT3D7_G6994",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,8,2,2
"ZT3D7_G6995",1,1,0,4,3,2,6,110,52,484,441,787,5,7,6,79,9,16,64,73,66,879,768,749
"ZT3D7_G6996",0,2,0,0,3,0,2,21,8,61,111,112,0,1,0,6,0,6,1,4,11,38,38,54
"ZT3D7_G6997",0,4,1,0,4,2,6,33,21,37,61,55,0,0,1,34,4,9,34,21,33,97,85,145
"ZT3D7_G6998",0,12,2,0,10,1,28,849,206,552,489,746,4,4,1,90,6,10,110,184,92,738,313,968
"ZT3D7_G6999",3,3,0,7,9,7,18,345,148,190,183,284,2,4,1,49,21,16,110,103,99,197,138,169
"ZT3D7_G7000",6,6,3,9,11,10,17,358,167,1268,1420,2034,7,10,18,200,20,17,119,102,93,2667,1752,1790
"ZT3D7_G7001",0,1,0,1,0,0,6,16,16,29,51,64,2,0,0,8,3,1,5,4,9,136,113,155
"ZT3D7_G7002",3,1,0,1,3,3,13,139,20,545,821,840,3,2,0,193,4,1,43,10,36,3246,1871,2280
"ZT3D7_G7003",0,0,2,4,1,10,17,198,32,1097,1357,1838,1,4,10,144,7,16,26,34,46,1796,1389,1843
"ZT3D7_G7004",1,0,0,0,0,1,4,37,1,33,49,71,1,2,0,14,0,0,9,10,22,167,121,400
"ZT3D7_G7005",1,1,0,1,3,0,7,81,44,216,235,280,1,2,1,21,4,3,24,8,5,391,242,561
"ZT3D7_G7006",55,9,43,1,6,7,14,146,101,130,175,167,28,38,44,47,5,22,279,221,126,292,372,377
"ZT3D7_G7007",2,32,3,12,24,11,16,315,137,3599,4199,5776,9,18,42,375,10,21,73,55,116,6110,5234,5459
"ZT3D7_G7008",4,0,1,2,3,3,4,76,20,263,306,422,11,9,7,47,16,14,26,19,24,643,478,659
"ZT3D7_G7009",1,0,0,0,8,4,5,75,16,41,63,48,0,1,3,16,7,8,14,19,53,51,30,75
"ZT3D7_G7010",0,0,0,1,1,0,0,7,0,24,21,10,1,2,0,11,0,1,3,7,4,79,40,64
"ZT3D7_G7011",1,28,17,14,25,15,52,523,139,1636,2094,2149,31,37,41,330,38,66,265,301,151,4422,2146,2353
"ZT3D7_G7012",0,2,1,1,3,0,12,65,3,138,128,195,3,1,2,18,3,5,13,23,25,213,81,243
"ZT3D7_G7013",0,1,1,0,0,1,0,12,0,7,4,6,0,1,0,2,0,1,9,4,3,31,23,9
"ZT3D7_G7014",0,2,0,0,0,0,0,10,3,10,12,13,3,1,0,2,1,1,6,2,3,18,17,24
"ZT3D7_G7015",63,319,125,190,362,219,668,9131,4908,43838,51366,55184,249,216,297,2918,404,708,3114,2664,2295,39546,37298,27638
"ZT3D7_G7016",78,208,65,165,295,168,754,9531,5247,31471,28170,36594,158,164,149,2323,282,448,3649,3431,2860,26936,28055,19107
"ZT3D7_G7017",3,4,1,10,2,5,14,224,155,259,243,385,7,6,10,60,18,25,122,56,55,253,220,489
"ZT3D7_G7018",0,0,0,1,0,1,0,37,21,221,193,243,0,0,1,8,0,0,8,14,4,93,118,168
"ZT3D7_G7019",3,5,5,11,15,14,33,190,90,548,554,675,8,17,15,90,18,33,78,112,96,834,645,911
"ZT3D7_G7020",14,30,12,15,17,13,42,504,284,637,800,813,15,33,30,134,38,63,202,172,157,945,609,1124
"ZT3D7_G7021",6,9,8,12,15,11,23,262,204,1045,1117,1470,13,19,18,181,33,48,150,134,127,2070,1290,1364
"ZT3D7_G7022",3,55,18,20,30,8,63,569,216,3495,2722,3913,35,42,31,269,18,49,99,65,50,3869,2568,4031
"ZT3D7_G7023",0,0,1,2,2,3,13,33,38,108,169,157,0,2,4,9,2,1,16,10,15,206,125,171
"ZT3D7_G7024",0,1,0,0,1,0,9,50,10,39,41,46,1,7,4,35,10,21,45,60,109,156,82,177
"ZT3D7_G7025",0,5,2,0,1,3,7,1,1,4,17,4,3,2,6,2,0,0,8,12,26,12,18,27
"ZT3D7_G7026",7,0,1,1,1,2,11,11,15,41,39,57,4,4,5,24,5,1,13,10,26,155,95,203
"ZT3D7_G7027",0,10,1,5,34,7,44,203,92,384,361,531,5,4,6,86,8,29,104,110,211,517,416,472
"ZT3D7_G7028",2,4,1,2,15,0,115,1656,918,206,306,259,15,10,2,47,14,14,470,367,277,92,147,132
"ZT3D7_G7029",5,11,7,12,4,4,0,21,14,23,75,44,9,12,4,14,3,8,22,20,15,161,91,95
"ZT3D7_G7030",21,59,32,34,67,48,192,1596,795,7427,8342,10030,25,40,33,781,69,100,681,641,579,9879,9407,8512
"ZT3D7_G7031",7,25,7,8,14,19,73,616,285,1367,1780,1903,2,16,8,164,44,85,316,216,252,1906,1705,2074
"ZT3D7_G7032",2,6,0,4,15,12,25,69,27,34,39,72,7,3,5,62,18,29,62,62,109,58,36,77
"ZT3D7_G7033",2,0,0,0,2,3,8,32,20,0,3,8,0,0,0,9,6,11,17,25,41,8,4,9
"ZT3D7_G7034",0,0,1,0,2,1,5,52,18,77,106,110,0,1,2,10,4,1,16,27,20,168,97,138
"ZT3D7_G7035",3,27,13,8,25,8,32,281,140,1150,1120,1584,13,14,22,158,15,30,107,67,84,2170,1485,1466
"ZT3D7_G7036",3,10,2,10,10,5,27,209,120,317,419,491,10,5,4,108,23,32,130,145,108,570,420,477
"ZT3D7_G7037",3,11,5,11,22,14,54,306,102,1275,1710,2028,14,16,30,231,20,21,118,75,131,3400,2214,2855
"ZT3D7_G7038",3,4,1,0,2,0,7,71,20,113,137,112,1,8,11,34,8,4,43,48,90,199,176,293
"ZT3D7_G7039",0,0,0,3,6,0,15,79,46,146,109,164,1,1,0,14,0,1,18,33,22,93,63,88
"ZT3D7_G7040",7,0,1,4,18,12,47,276,152,223,199,294,2,7,1,70,9,29,90,112,116,385,266,314
"ZT3D7_G7041",10,27,13,16,40,17,44,557,266,2736,3190,4612,40,44,54,466,65,71,220,200,178,6081,4059,4939
"ZT3D7_G7042",0,2,0,0,0,1,3,3,3,7,0,8,0,0,0,3,0,2,6,3,5,10,6,22
"ZT3D7_G7043",2,15,5,0,5,1,15,57,19,102,115,170,6,8,6,25,13,19,12,10,19,310,128,179
"ZT3D7_G7044",0,0,1,0,1,0,2,33,13,20,29,24,1,0,0,5,1,2,16,3,1,36,21,84
"ZT3D7_G7045",3,9,1,5,10,5,12,103,56,433,447,802,1,9,4,87,8,11,57,48,36,1068,727,774
"ZT3D7_G7046",1,2,0,1,3,1,22,174,43,140,187,157,3,2,0,62,0,12,59,75,67,362,208,317
"ZT3D7_G7047",1,1,2,1,4,3,26,227,83,556,616,897,4,3,7,92,9,13,95,117,72,758,879,1019
"ZT3D7_G7048",9,27,9,14,18,19,23,392,168,971,986,1309,8,20,6,147,39,47,125,118,150,1191,806,1205
"ZT3D7_G7049",0,0,0,0,1,0,0,9,0,38,43,67,0,0,0,3,2,3,3,1,1,71,58,53
"ZT3D7_G7050",11,118,28,42,69,36,64,1493,492,17095,18664,25103,80,212,159,3840,71,194,285,82,217,64271,35704,35683
"ZT3D7_G7051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,2,0,206,165,156
"ZT3D7_G7052",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,0,1,25,28,33,631,516,679
"ZT3D7_G7053",0,0,1,0,2,2,0,64,32,330,316,413,1,1,5,95,8,11,80,59,39,1355,1426,1175
"ZT3D7_G7054",0,3,2,0,2,2,16,105,47,214,334,268,3,5,0,55,10,32,106,88,79,537,506,747
"ZT3D7_G7055",20,76,38,46,80,55,195,2212,1037,9589,10645,13887,41,84,57,1030,101,178,782,582,537,13978,11029,9992
"ZT3D7_G7056",14,15,7,12,27,26,81,860,486,1937,1996,2598,9,20,15,216,45,48,309,262,243,2169,2434,2313
"ZT3D7_G7057",1,2,0,0,3,1,1,20,10,51,63,58,0,4,24,7,9,6,15,6,6,123,63,99
"ZT3D7_G7058",2,1,1,3,8,6,2,12,1,60,46,80,4,8,4,25,9,5,28,30,62,156,37,143
"ZT3D7_G7059",4,7,0,7,2,4,28,197,113,374,358,507,4,3,5,54,7,22,137,120,129,319,330,327
"ZT3D7_G7060",11,33,18,29,57,41,190,1193,524,5030,6173,7579,22,22,47,566,53,119,400,455,438,6896,5156,6032
"ZT3D7_G7061",12,15,12,19,15,25,37,442,345,582,679,764,13,15,21,98,31,69,225,199,110,794,651,516
"ZT3D7_G7062",2,1,0,0,1,3,9,146,46,290,314,360,2,2,7,29,4,22,66,53,48,244,331,315
"ZT3D7_G7063",0,3,1,0,0,2,5,68,12,224,241,396,0,1,0,27,1,6,4,10,15,305,220,248
"ZT3D7_G7064",3,1,0,2,4,0,10,51,26,81,106,109,0,0,0,17,7,2,21,11,16,83,86,136
"ZT3D7_G7065",0,15,0,1,8,6,20,183,153,134,193,224,2,0,1,20,9,7,68,59,55,179,154,192
"ZT3D7_G7066",7,15,2,16,24,24,42,279,84,822,758,1318,10,29,9,329,44,53,136,145,91,4168,1356,1692
"ZT3D7_G7067",18,13,5,20,45,28,73,466,204,2467,3329,3622,15,15,23,426,56,96,210,227,207,4944,3598,4413
"ZT3D7_G7068",9,58,16,22,41,44,108,1458,589,4470,4951,5992,29,39,41,619,65,92,591,508,612,7543,5296,5598
"ZT3D7_G7069",4,59,14,9,23,11,22,91,35,68,30,76,46,35,79,37,30,39,53,41,58,64,42,95
"ZT3D7_G7070",3,15,9,9,24,15,59,704,410,2924,2838,3943,17,25,24,277,29,55,194,167,161,3922,2831,3867
"ZT3D7_G7071",4,11,7,10,10,4,14,143,66,553,715,743,6,6,30,97,12,8,90,55,66,1368,908,898
"ZT3D7_G7072",66,257,78,147,222,185,618,7663,3965,27798,22247,35686,142,162,236,2410,282,451,2665,2435,2597,30586,26959,18700
"ZT3D7_G7073",15,12,6,5,14,9,37,688,294,1778,2798,1432,9,9,18,88,20,24,225,146,121,1032,1880,1365
"ZT3D7_G7074",4,9,4,2,11,4,30,647,302,1340,1494,1687,6,18,13,175,4,16,259,125,45,2507,1997,1992
"ZT3D7_G7075",2,2,1,3,0,0,1,78,13,491,420,811,7,4,7,49,1,1,21,12,8,642,547,580
"ZT3D7_G7076",0,2,0,0,5,3,12,182,101,1173,1156,1568,1,5,5,64,2,15,41,38,36,919,1044,1188
"ZT3D7_G7077",0,1,0,0,4,1,2,46,27,100,118,122,1,4,0,13,8,4,29,11,23,136,116,141
"ZT3D7_G7078",1,6,6,3,17,3,24,337,156,1946,2029,2580,5,11,16,189,10,27,100,81,94,2537,2054,2241
"ZT3D7_G7079",3,13,2,17,6,15,29,477,231,2021,1928,2926,5,13,6,145,10,17,132,94,99,2120,1971,2221
"ZT3D7_G7080",0,4,0,0,1,1,13,139,36,185,272,235,3,0,4,30,13,5,65,31,25,255,205,309
"ZT3D7_G7081",4,4,1,4,21,16,74,786,328,1437,1674,2050,13,18,3,173,35,33,206,246,193,1525,1521,2036
"ZT3D7_G7082",9,11,6,27,24,27,81,798,433,2895,2190,3758,10,17,15,321,38,48,386,277,348,3267,2415,2742
"ZT3D7_G7083",1,6,6,10,16,17,41,299,196,157,249,237,3,7,13,83,28,25,218,144,123,426,225,372
"ZT3D7_G7084",3,5,1,1,9,12,42,513,235,791,806,932,1,14,7,133,26,22,264,179,213,1032,925,993
"ZT3D7_G7085",0,0,2,1,0,0,6,79,33,148,152,295,2,1,2,21,6,12,17,26,13,152,151,146
"ZT3D7_G7086",2,6,3,4,6,2,19,106,68,447,370,628,2,6,6,66,15,16,51,52,61,666,566,548
"ZT3D7_G7087",0,1,0,2,2,2,8,42,11,52,56,43,0,0,0,2,0,0,3,1,7,3,4,8
"ZT3D7_G7088",8,18,13,24,50,19,89,808,318,4494,5037,6239,22,37,21,510,42,71,288,292,333,7059,5880,5958
"ZT3D7_G7089",3,0,2,2,11,4,23,139,55,281,366,368,0,5,0,48,9,15,60,49,65,524,545,532
"ZT3D7_G7090",11,47,24,41,57,32,103,691,480,4034,3502,5702,29,60,21,421,66,101,280,288,286,5442,2945,2526
"ZT3D7_G7091",4,24,9,15,15,9,47,496,269,1941,2295,2026,8,13,36,168,16,33,168,187,146,2252,2011,1828
"ZT3D7_G7092",4,2,0,2,1,3,22,161,130,172,199,309,1,5,2,121,25,25,229,216,209,737,674,1128
"ZT3D7_G7093",0,0,1,0,0,0,0,9,0,5,11,19,0,0,0,5,4,1,6,2,6,17,27,36
"ZT3D7_G7094",0,2,0,3,2,2,10,86,33,158,147,197,4,1,4,19,2,8,40,41,265,141,150,191
"ZT3D7_G7095",7,42,5,16,22,26,82,590,432,2610,2552,3651,29,39,21,314,49,53,282,208,231,3917,2946,3070
"ZT3D7_G7096",0,0,0,1,1,0,0,41,25,108,103,195,0,2,6,11,0,2,2,0,6,148,112,93
"ZT3D7_G7097",0,8,4,3,8,3,25,316,147,440,565,714,7,6,18,92,9,22,128,67,94,627,557,566
"ZT3D7_G7098",12,27,12,16,37,28,65,614,275,1863,2129,2352,19,21,34,214,53,52,245,237,260,2379,1825,2208
"ZT3D7_G7099",0,0,0,0,1,1,10,267,40,257,400,515,0,0,0,113,0,0,65,24,36,1462,756,1181
"ZT3D7_G7100",50,0,12,109,307,213,1038,1796,1277,270,210,274,38,32,31,1646,448,680,1843,2643,5216,641,369,631
"ZT3D7_G7101",0,0,0,0,0,0,2,58,12,80,122,126,0,0,0,11,3,0,8,15,0,239,237,459
"ZT3D7_G7102",2,0,0,1,2,0,0,15,4,39,68,113,1,1,0,9,0,6,7,6,4,50,63,103
"ZT3D7_G7103",0,1,1,1,1,0,2,49,15,38,49,39,1,0,4,12,2,1,2,16,24,75,53,74
"ZT3D7_G7104",1,23,10,5,21,16,37,183,72,248,304,322,14,26,21,107,10,20,65,83,88,753,320,533
"ZT3D7_G7105",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7106",4,21,5,9,3,4,44,145,111,1420,1636,1697,2,19,4,203,7,10,49,51,35,2703,1925,2603
"ZT3D7_G7107",0,1,2,1,4,3,11,59,22,130,93,170,3,3,6,26,7,13,52,36,50,321,172,220
"ZT3D7_G7108",0,2,0,1,4,0,10,25,16,288,142,377,0,0,0,22,1,0,3,8,5,144,146,139
"ZT3D7_G7109",3,1,0,0,4,0,5,57,18,88,90,115,0,3,0,14,3,3,39,22,13,79,132,141
"ZT3D7_G7110",7,6,4,8,18,14,35,240,106,456,595,689,5,6,4,79,18,22,77,97,93,706,439,584
"ZT3D7_G7111",6,25,9,3,10,7,11,134,48,333,344,519,17,23,38,114,20,31,54,56,49,1361,564,702
"ZT3D7_G7112",2,4,0,1,3,3,3,67,34,256,241,333,2,4,4,42,11,12,30,21,23,234,226,231
"ZT3D7_G7113",1,4,3,6,11,7,19,184,103,623,904,1008,2,7,5,60,15,13,62,54,74,651,669,667
"ZT3D7_G7114",3,14,4,11,26,14,58,546,301,1270,1362,1863,13,12,12,140,28,29,251,205,200,1103,1155,1090
"ZT3D7_G7115",21,67,35,32,89,36,147,1628,869,11049,11154,14731,41,63,53,1123,50,115,664,384,539,15228,9629,9718
"ZT3D7_G7116",7,59,30,24,65,34,109,2462,1120,14574,13951,21541,37,47,35,1347,74,98,951,511,322,19604,18381,16192
"ZT3D7_G7117",0,0,1,1,0,0,4,76,15,405,560,559,0,1,0,21,1,2,14,14,4,332,443,593
"ZT3D7_G7118",0,0,2,0,0,0,0,25,0,173,159,360,1,0,11,22,1,0,0,1,1,260,246,269
"ZT3D7_G7119",0,1,0,0,0,1,7,12,0,34,65,29,0,0,0,12,0,2,3,5,5,134,66,95
"ZT3D7_G7120",0,0,0,3,0,4,2,59,28,88,186,194,0,0,1,218,1,0,9,8,19,3456,2166,3691
"ZT3D7_G7121",0,3,0,2,10,6,44,123,46,319,389,343,2,2,5,56,19,24,83,74,99,437,472,566
"ZT3D7_G7122",0,0,0,1,3,3,2,265,106,486,542,790,1,3,4,52,0,4,199,49,17,719,959,1315
"ZT3D7_G7123",2,8,3,4,14,9,14,205,97,415,484,584,9,11,22,71,14,31,69,83,52,607,398,521
"ZT3D7_G7124",1,5,6,6,11,10,34,172,79,140,162,150,2,5,6,52,18,37,99,98,70,121,79,197
"ZT3D7_G7125",0,3,1,0,3,0,4,45,23,84,132,122,3,1,9,21,5,0,15,17,10,253,129,187
"ZT3D7_G7126",2,0,1,0,2,0,0,27,12,62,98,49,6,4,1,18,6,10,37,20,33,88,103,154
"ZT3D7_G7127",0,0,0,0,2,0,5,36,14,96,145,132,0,1,2,33,8,8,55,42,15,232,208,233
"ZT3D7_G7128",0,0,0,0,0,0,0,31,0,87,159,211,0,1,0,13,0,0,1,0,0,235,144,150
"ZT3D7_G7129",4,6,1,2,6,2,37,381,35,518,1176,934,5,4,10,110,22,24,54,45,111,1766,1126,2151
"ZT3D7_G7130",0,0,1,0,0,0,2,3,0,11,7,18,0,0,0,5,0,1,3,1,4,68,42,44
"ZT3D7_G7131",0,0,0,0,1,2,0,74,7,257,359,346,1,0,1,25,0,1,13,13,22,329,318,405
"ZT3D7_G7132",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7133",2,1,1,8,15,4,2,19,37,110,80,113,11,4,11,43,7,32,15,3,19,340,252,257
"ZT3D7_G7134",0,4,0,2,9,0,8,43,30,97,155,126,1,6,9,54,6,24,92,61,56,464,402,422
"ZT3D7_G7135",1,3,0,1,1,1,4,343,100,2952,3006,4350,0,3,2,186,4,1,53,16,27,3044,2777,3732
"ZT3D7_G7136",0,0,0,0,0,0,2,10,4,42,57,96,0,0,0,0,0,1,0,0,0,0,1,5
"ZT3D7_G7137",0,7,2,1,3,1,11,39,38,371,240,491,6,7,7,49,3,14,29,12,10,936,593,961
"ZT3D7_G7138",49,174,72,123,233,191,483,6932,3249,35773,37222,48303,133,157,148,2873,229,461,2537,1822,1640,36446,31444,30447
"ZT3D7_G7139",3,9,8,9,14,9,18,151,63,544,520,709,11,22,20,85,31,34,54,77,75,773,390,690
"ZT3D7_G7140",1,0,0,0,7,0,4,397,103,563,977,771,0,0,5,95,2,0,150,62,23,1321,1273,1967
"ZT3D7_G7141",0,9,1,3,13,1,4,1901,275,8684,11969,13485,0,0,0,1239,5,1,134,34,17,21476,14165,17146
"ZT3D7_G7142",3,0,0,10,42,26,68,201,85,34,86,52,10,10,5,254,96,256,568,435,910,202,217,214
"ZT3D7_G7143",0,0,0,1,0,0,4,14,5,2,5,17,0,0,0,7,0,0,8,2,4,49,33,70
"ZT3D7_G7144",4,8,2,9,9,10,50,279,227,361,417,518,14,19,13,139,30,50,193,140,163,1308,800,935
"ZT3D7_G7145",0,0,0,0,1,1,3,23,6,40,34,25,0,1,0,4,0,0,2,2,5,26,9,32
"ZT3D7_G7146",5,19,5,9,21,9,69,347,231,915,955,1083,8,28,24,129,45,71,266,135,164,1589,960,1248
"ZT3D7_G7147",0,3,1,3,9,4,14,45,25,48,51,73,2,5,0,23,1,11,15,29,70,126,98,95
"ZT3D7_G7148",6,13,4,31,78,51,362,686,489,264,371,373,17,20,11,541,141,189,627,939,834,338,256,405
"ZT3D7_G7149",12,28,12,14,82,43,184,1296,611,7524,7853,11039,33,54,23,967,102,171,865,781,1047,10742,9008,8700
"ZT3D7_G7150",4,24,10,10,20,13,25,301,163,636,560,791,21,28,14,87,27,29,91,45,50,785,566,987
"ZT3D7_G7151",3,6,1,10,9,6,14,186,80,308,274,381,3,8,6,46,12,21,70,63,55,296,223,326
"ZT3D7_G7152",26,57,19,13,35,27,33,261,159,1361,1407,1648,37,37,30,146,30,26,71,79,92,2125,1258,1898
"ZT3D7_G7153",19,37,35,9,10,22,7,36,11,40,31,44,18,31,16,24,10,18,11,23,11,49,37,57
"ZT3D7_G7154",0,0,2,1,0,1,0,12,6,5,7,20,0,1,0,7,1,3,4,10,11,41,24,20
"ZT3D7_G7155",12,2,2,26,38,29,165,388,298,42,32,35,11,7,3,228,83,110,338,473,474,6,14,10
"ZT3D7_G7156",0,5,0,0,0,1,0,14,0,67,62,73,2,1,0,31,13,17,54,84,27,31,19,26
"ZT3D7_G7157",0,1,2,0,0,1,2,10,0,1,0,2,19,14,12,63,15,23,109,150,76,150,127,113
"ZT3D7_G7158",17,6,12,13,4,7,1,20,2,25,11,25,1,1,6,20,11,3,13,17,4,97,58,47
"ZT3D7_G7159",19,3,2,29,70,68,86,153,134,25,17,15,23,19,6,224,88,101,226,280,194,151,97,94
"ZT3D7_G7160",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,7
"ZT3D7_G7161",16,5,4,33,62,72,153,257,298,25,77,42,17,14,4,265,111,137,324,484,367,184,170,172
"ZT3D7_G7162",0,8,2,2,6,6,5,73,34,244,243,424,9,9,10,22,10,6,28,19,18,377,314,314
