"","1A5-1-7d_R1","1A5-7-7d_R1","1A5-10-7d_R1","1A5-3-12d_R1","1A5-5-12d_R1","1A5-7-12d_R1","1A5-8-14d_R1","1A5-9-14d_R1","1A5-10-14d_R1","1A5-3-28d_R1","1A5-6-28d_R1","1A5-7-28d_R1","1E4-4-7d_R1","1E4-5-7d_R1","1E4-6-7d_R1","1E4-3-12d_R1","1E4-6-12d_R1","1E4-7-12d_R1","1E4-5-14d_R1","1E4-8-14d_R1","1E4-10-14d_R1","1E4-3-28d_R1","1E4-4-28d_R1","1E4-6-28d_R1"
"ZT3D7_G7824",0,2,1,6,8,2,11,63,8,211,143,354,0,1,2,38,6,3,10,19,14,246,113,179
"ZT3D7_G7825",0,2,1,0,14,12,20,196,97,232,259,288,2,2,12,30,15,13,97,52,53,203,173,284
"ZT3D7_G7826",1,0,0,4,2,5,22,103,28,136,104,147,3,0,6,14,10,12,47,42,66,114,91,160
"ZT3D7_G7827",0,1,0,4,1,1,6,37,8,70,37,48,0,0,0,4,1,1,2,6,14,42,32,94
"ZT3D7_G7828",0,0,3,1,5,0,0,27,12,41,13,30,4,1,2,4,2,1,4,5,7,54,27,65
"ZT3D7_G7829",9,17,8,27,21,18,57,685,482,1113,1006,1390,13,10,52,163,33,66,494,395,251,1243,991,740
"ZT3D7_G7830",3,2,4,7,6,5,16,125,115,509,608,650,1,8,1,77,13,19,103,53,64,746,461,545
"ZT3D7_G7831",20,12,19,149,34,37,163,399,189,258,274,288,57,48,56,169,50,64,164,283,327,317,200,302
"ZT3D7_G7832",0,6,1,3,6,7,30,226,93,936,1154,1365,4,4,11,107,19,27,118,72,56,1591,1053,1266
"ZT3D7_G7833",4,29,10,16,13,9,22,617,230,4638,5019,7132,27,54,57,525,27,22,54,16,34,8711,5716,6496
"ZT3D7_G7834",0,0,1,0,0,0,0,11,0,20,13,12,0,1,1,7,0,2,0,3,12,18,17,16
"ZT3D7_G7835",2,4,5,4,4,3,30,92,76,390,433,528,2,6,5,53,13,7,46,30,57,585,329,522
"ZT3D7_G7836",10,18,6,11,17,22,35,334,78,408,452,583,20,12,16,93,27,28,99,96,113,773,351,488
"ZT3D7_G7837",2548,2227,3031,21028,4136,5583,12647,80002,18010,227919,95970,175563,5601,10633,8605,21936,5576,5214,4651,31250,70183,73007,69581,69087
"ZT3D7_G7838",2818,2453,3452,24505,4626,6260,13701,75829,17760,205437,90872,158676,6254,11722,10120,22540,6177,5712,4822,31914,71427,64808,66542,64920
"ZT3D7_G7839",0,0,0,9,0,16,3,37,6,0,0,6,3,0,0,3,0,0,0,22,31,0,0,0
"ZT3D7_G7840",0,0,0,0,0,3,0,14,3,0,0,3,0,3,0,5,0,0,0,3,0,0,0,6
"ZT3D7_G7841",0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0
"ZT3D7_G7842",3,0,0,0,4,1,1,8,1,1,4,0,0,0,0,0,1,2,0,2,12,0,4,1
"ZT3D7_G7843",0,0,0,0,0,0,0,1,0,0,4,6,0,0,1,0,0,0,0,1,0,1,0,6
"ZT3D7_G7844",0,3,0,7,1,4,15,23,9,6,0,7,9,6,0,7,0,0,0,7,20,5,3,1
"ZT3D7_G7845",0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,9,0
"ZT3D7_G7846",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4
"ZT3D7_G7847",8,4,1,5,18,19,15,84,49,142,103,163,3,3,1,36,4,4,57,20,25,205,134,150
"ZT3D7_G7848",19,27,13,31,42,59,125,620,371,733,870,1022,23,41,23,252,62,130,421,406,418,1665,864,1272
"ZT3D7_G7849",0,0,0,0,0,1,0,19,6,18,11,25,0,0,0,4,2,0,7,1,4,21,15,42
"ZT3D7_G7850",3,19,1,6,5,1,4,48,10,76,95,107,6,7,6,10,8,8,8,9,5,157,82,136
"ZT3D7_G7851",0,0,1,0,2,0,2,69,9,150,209,202,0,0,1,62,0,3,12,9,10,989,344,735
"ZT3D7_G7852",2,23,3,6,8,7,17,223,127,1159,1317,1706,7,13,8,149,12,18,63,55,59,1860,1063,1323
"ZT3D7_G7853",0,0,1,4,0,1,4,27,13,75,106,60,0,0,0,5,5,5,10,8,13,100,66,116
"ZT3D7_G7854",5,5,0,10,6,6,8,57,15,114,177,157,3,3,4,18,21,18,37,23,22,139,131,165
"ZT3D7_G7855",3,2,0,2,5,3,2,102,26,525,488,911,2,3,1,91,7,12,22,22,33,812,513,629
"ZT3D7_G7856",2,2,1,5,9,8,27,78,61,199,280,310,8,0,3,71,15,28,85,42,74,415,251,572
"ZT3D7_G7857",3,6,2,7,6,3,19,60,41,83,129,140,4,3,9,19,11,19,36,32,40,116,101,167
"ZT3D7_G7858",6,19,6,3,6,5,7,21,14,26,29,39,7,9,3,9,10,13,8,7,8,74,25,26
"ZT3D7_G7859",13,0,2,22,48,44,25,69,74,35,50,24,17,10,5,149,49,96,83,55,93,105,25,61
"ZT3D7_G7860",6,31,3,7,19,12,29,219,56,488,417,822,1,11,16,81,5,17,46,48,51,835,533,545
"ZT3D7_G7861",5,43,22,12,19,9,24,485,149,2883,3681,4317,25,20,76,231,13,38,100,166,58,3583,2623,1992
"ZT3D7_G7862",1,7,1,4,3,2,25,379,72,195,331,278,1,1,7,77,13,14,124,178,134,360,315,403
"ZT3D7_G7863",0,5,1,3,2,1,18,70,58,40,27,54,2,1,0,11,5,8,23,34,42,53,50,90
"ZT3D7_G7864",3,1,1,2,0,0,2,28,18,16,14,15,1,1,2,9,2,2,14,16,13,10,6,22
"ZT3D7_G7865",4,11,4,4,8,8,22,157,58,468,492,511,7,6,12,54,16,19,58,66,52,470,352,530
"ZT3D7_G7866",0,6,1,8,5,7,8,85,43,74,104,90,5,3,18,36,7,21,27,30,29,204,83,215
"ZT3D7_G7867",5,10,6,3,11,6,17,203,117,343,461,513,4,3,0,27,7,7,83,56,29,359,367,251
"ZT3D7_G7868",2,3,1,0,3,6,6,93,35,216,319,288,1,1,0,21,8,8,24,40,20,254,153,275
"ZT3D7_G7869",1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,3
"ZT3D7_G7870",0,0,1,0,1,0,0,34,16,293,418,445,0,1,0,33,0,0,3,6,0,512,685,762
"ZT3D7_G7871",1,0,0,0,0,0,0,18,1,10,21,34,0,0,0,1,0,0,0,0,3,24,23,27
"ZT3D7_G7872",3,12,5,1,3,1,10,97,29,698,542,1390,5,6,2,73,3,7,38,51,28,1251,895,740
"ZT3D7_G7873",2,1,0,2,4,2,7,78,24,185,206,235,3,3,0,31,3,5,48,35,20,272,186,245
"ZT3D7_G7874",4,4,1,7,9,10,28,159,100,208,364,287,8,6,11,67,14,16,102,95,91,401,250,394
"ZT3D7_G7875",0,2,1,0,5,1,6,14,4,9,13,9,0,0,3,3,0,3,4,8,16,19,20,40
"ZT3D7_G7876",11,4,1,14,62,53,150,500,228,129,177,98,7,12,12,128,50,99,153,237,710,285,210,420
"ZT3D7_G7877",7,34,10,9,22,9,18,175,132,1475,1255,2174,22,30,44,219,14,20,61,73,54,3057,2009,1807
"ZT3D7_G7878",44,332,257,197,137,55,73,1027,87,331,648,313,289,929,302,389,198,428,316,77,138,4719,2683,5395
"ZT3D7_G7879",3,0,0,0,0,1,0,19,4,11,9,8,3,1,0,4,3,0,6,3,0,15,10,8
"ZT3D7_G7880",3,29,1,4,16,14,20,411,181,1040,889,1595,4,15,14,141,31,53,137,135,140,1337,1195,1198
"ZT3D7_G7881",0,14,2,1,2,4,6,36,8,60,73,82,9,4,2,18,10,9,12,20,17,66,54,83
"ZT3D7_G7882",35,166,49,58,52,47,251,597,378,353,335,509,72,138,124,238,114,157,313,452,596,737,397,515
"ZT3D7_G7883",150,23,27,270,753,573,1016,1658,1532,33,75,90,83,95,33,2300,964,1355,2748,3629,2712,328,101,197
"ZT3D7_G7884",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZT3D7_G7885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G7886",0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0
"ZT3D7_G7887",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"ZT3D7_G7888",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZT3D7_G7889",0,0,0,0,1,2,0,0,0,2,4,0,3,17,11,2,6,6,2,2,0,6,2,5
"ZT3D7_G7890",1,23,7,1,35,13,69,275,57,495,792,803,32,59,62,183,87,91,113,195,413,1226,940,1212
"ZT3D7_G7892",0,0,0,0,8,0,30,160,41,27,56,49,0,1,0,14,4,1,28,40,96,231,44,247
"ZT3D7_G7893",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G7895",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZT3D7_G7896",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1
"ZT3D7_G7897",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7902",0,0,0,0,0,0,0,0,0,4,7,2,0,0,0,0,0,0,0,0,0,5,2,1
"ZT3D7_G7903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ZT3D7_G7905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7906",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ZT3D7_G7907",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7910",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7911",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZT3D7_G7912",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZT3D7_G7913",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7915",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,0,6
"ZT3D7_G7916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ZT3D7_G7917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7918",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"ZT3D7_G7919",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,2,6,0,6
"ZT3D7_G7920",0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6,0,0,0
"ZT3D7_G7921",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7922",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"ZT3D7_G7924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZT3D7_G7925",1,0,4,8,4,8,12,19,2,3,0,0,3,11,0,17,2,4,2,16,42,1,1,1
"ZT3D7_G7926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZT3D7_G7927",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"ZT3D7_G7929",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7930",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1
"ZT3D7_G7931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
"ZT3D7_G7932",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ZT3D7_G7933",0,5,4,2,0,1,4,46,7,30,13,48,0,10,17,3,0,4,1,2,6,43,25,48
"ZT3D7_G7934",0,0,1,0,0,0,0,4,0,6,3,7,0,0,0,0,0,3,0,0,0,2,3,5
"ZT3D7_G7935",1,6,4,6,5,2,5,122,49,32,47,32,0,0,0,12,5,5,18,30,14,27,19,45
"ZT3D7_G7936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZT3D7_G7937",0,8,3,3,2,4,11,87,46,242,244,384,2,0,0,2,3,4,6,0,1,21,28,16
"ZT3D7_G7938",10,3,33,87,16,37,88,121,30,20,8,14,15,51,5,63,24,22,12,96,216,0,0,1
