"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G9636",107,6,48,21,27,24,118,84,41,38,9,6
"ZT3D7_G9637",494,558,560,1244,1535,1113,545,510,777,556,843,506
"ZT3D7_G9638",1228,2686,2104,4293,4366,3914,1481,1482,2588,1909,4346,2384
"ZT3D7_G9639",244,739,679,646,782,803,339,269,688,592,1073,698
"ZT3D7_G9640",550,645,1371,386,546,476,460,385,1568,1326,985,520
"ZT3D7_G9641",1003,1597,1325,1253,1326,1202,1038,1066,1501,1345,2271,1341
"ZT3D7_G9642",1408,1515,1316,2002,1962,1898,1395,1758,1398,1158,1710,1166
"ZT3D7_G9643",343,280,579,226,268,236,333,488,699,492,385,241
"ZT3D7_G9644",453,260,604,378,392,351,401,410,768,643,410,214
"ZT3D7_G9645",1511,2128,3792,1528,1842,1625,2309,1989,4059,3240,3301,1873
"ZT3D7_G9646",104,84,319,82,138,113,115,118,422,296,138,76
"ZT3D7_G9647",122,73,341,130,98,96,115,113,415,340,66,58
"ZT3D7_G9648",318,271,354,574,917,729,417,324,374,368,584,277
"ZT3D7_G9649",138,28,75,26,33,32,145,136,72,53,39,20
"ZT3D7_G9650",656,286,312,235,311,256,922,555,509,356,511,348
"ZT3D7_G9651",628,37,107,894,919,659,561,707,184,100,68,52
"ZT3D7_G9652",404,40,44,1665,1500,1148,362,398,47,35,52,24
"ZT3D7_G9653",689,311,2218,489,491,458,500,403,1901,2265,433,248
"ZT3D7_G9654",1704,3278,1284,1247,1482,1084,1422,2071,1716,1073,5263,3213
"ZT3D7_G9655",51,36,145,41,31,32,73,42,201,139,51,47
"ZT3D7_G9656",208,1053,398,222,294,321,220,177,426,387,1641,950
"ZT3D7_G9657",115,163,412,231,214,184,144,126,384,289,238,149
"ZT3D7_G9658",1,3,16,1,1,0,0,4,27,17,6,2
"ZT3D7_G9659",3,21,5,0,0,1,1,3,10,8,27,10
"ZT3D7_G9660",895,1094,554,1692,1921,1497,831,1065,503,442,1854,957
"ZT3D7_G9661",526,1369,549,1799,1399,1341,456,660,558,485,1954,1049
"ZT3D7_G9662",83,101,298,112,109,121,100,82,379,270,191,109
"ZT3D7_G9663",32,36,146,41,43,32,29,24,184,129,68,56
"ZT3D7_G9664",216,563,374,467,494,401,194,206,404,398,774,419
"ZT3D7_G9665",182,376,733,587,657,603,174,131,761,731,646,346
"ZT3D7_G9666",15,1,1,2,1,3,14,1,8,3,0,0
"ZT3D7_G9667",65,3,18,78,43,50,36,57,14,21,7,4
"ZT3D7_G9668",323,552,1132,553,624,525,304,303,1225,1089,937,538
"ZT3D7_G9669",912,1460,830,1678,1790,1819,993,1060,766,595,2113,1230
"ZT3D7_G9670",1135,1786,1826,2268,2221,1817,826,1049,1919,1732,2801,1685
"ZT3D7_G9671",339,164,513,144,186,150,274,193,297,441,278,172
"ZT3D7_G9672",414,390,1223,681,765,747,640,763,964,984,655,328
"ZT3D7_G9673",488,161,457,1174,1422,1277,349,489,509,401,233,141
"ZT3D7_G9674",150,15,73,57,61,38,80,135,46,42,22,10
"ZT3D7_G9675",999,1301,917,2078,1678,1292,770,904,853,894,1947,926
"ZT3D7_G9676",1200,1149,1333,1696,1829,1690,1041,1169,1354,1242,1708,981
"ZT3D7_G9677",57,14,30,54,42,44,42,41,42,22,16,10
"ZT3D7_G9678",171,76,152,135,118,84,203,166,258,200,107,67
"ZT3D7_G9679",68,21,98,61,62,40,72,64,132,101,26,21
"ZT3D7_G9680",1862,984,597,5458,5546,5987,1747,1861,1088,494,1617,1097
"ZT3D7_G9681",807,1152,1669,1026,1206,1152,753,930,1769,1435,2124,1213
"ZT3D7_G9682",143,121,359,119,139,153,146,137,441,369,222,120
"ZT3D7_G9683",128,131,137,9,16,7,133,188,167,115,117,83
"ZT3D7_G9684",5,5,36,3,5,8,6,13,29,52,6,7
"ZT3D7_G9685",1574,2849,2109,2444,3233,2868,1775,1729,2439,1765,3786,2700
"ZT3D7_G9686",7,3,17,4,6,4,3,2,23,19,7,4
"ZT3D7_G9687",5,9,23,11,23,21,2,2,26,19,12,11
"ZT3D7_G9688",37,9,32,9,12,16,25,33,56,24,10,12
"ZT3D7_G9689",129,50,168,78,67,62,115,112,272,205,68,51
"ZT3D7_G9690",1291,1402,1356,2518,2160,1908,1190,1377,1326,1438,2339,1174
"ZT3D7_G9691",183,243,370,256,269,279,243,172,406,329,498,257
"ZT3D7_G9692",3177,3935,4309,6054,5960,5441,3163,3142,3952,3754,6817,3445
"ZT3D7_G9693",450,634,736,1153,1107,1087,567,493,705,663,1011,544
"ZT3D7_G9694",8,9,21,9,5,2,2,5,37,25,23,14
"ZT3D7_G9695",55,36,49,24,24,32,60,48,64,46,59,22
"ZT3D7_G9696",72,114,201,45,66,55,50,58,162,144,177,110
"ZT3D7_G9697",439,1071,791,707,866,703,404,443,798,644,1843,955
"ZT3D7_G9698",747,492,690,437,452,429,655,747,708,601,719,416
"ZT3D7_G9699",25,27,36,11,13,14,17,20,29,30,40,14
"ZT3D7_G9700",290,169,185,265,258,232,243,246,190,141,222,118
"ZT3D7_G9701",704,408,865,1436,1448,1142,856,858,871,807,641,303
"ZT3D7_G9702",0,20,62,0,0,0,0,0,93,62,43,22
"ZT3D7_G9703",37,2180,617,318,336,259,80,54,755,646,3741,2363
"ZT3D7_G9704",4813,8582,5202,10495,10279,9627,5112,5491,5512,4455,12584,6272
"ZT3D7_G9705",81,563,145,306,260,260,86,64,270,194,963,507
"ZT3D7_G9706",145,682,279,648,639,638,195,167,649,354,989,481
"ZT3D7_G9707",6,6,44,7,5,6,3,12,38,29,10,13
"ZT3D7_G9708",230,268,469,428,474,408,243,212,437,502,441,264
"ZT3D7_G9709",795,1216,1495,2824,3190,2506,843,726,1691,1717,2131,1254
"ZT3D7_G9710",55,156,94,448,255,145,29,25,97,96,231,89
"ZT3D7_G9711",41,21,73,88,64,42,23,48,80,68,24,14
"ZT3D7_G9712",220,165,213,289,227,263,160,224,194,165,184,126
"ZT3D7_G9713",558,390,556,1271,1189,1160,569,626,590,449,490,308
"ZT3D7_G9714",50,310,113,25,21,28,29,71,100,86,420,301
"ZT3D7_G9715",1911,2680,1586,4753,4876,5246,2205,2281,1540,1328,4381,2319
"ZT3D7_G9716",237,258,202,378,541,508,318,188,283,195,468,251
"ZT3D7_G9717",2399,3111,1234,2913,3192,3222,1741,2638,1262,1065,4672,2989
"ZT3D7_G9718",118,91,275,147,161,130,128,85,347,285,83,56
"ZT3D7_G9719",670,2857,1132,6574,5941,6704,858,827,1594,1301,4727,2668
"ZT3D7_G9720",1477,821,1047,914,723,642,1146,1534,805,788,998,552
"ZT3D7_G9721",2518,424,1986,1151,1593,1302,2774,2638,2881,2214,717,406
"ZT3D7_G9722",327,318,421,260,239,188,361,325,483,403,407,259
"ZT3D7_G9723",126,303,283,218,201,155,135,136,255,244,466,248
"ZT3D7_G9724",129,177,293,162,150,130,123,167,340,244,238,143
"ZT3D7_G9725",68,38,110,36,58,36,57,67,136,102,73,41
"ZT3D7_G9726",3893,11326,8024,13036,13815,11193,4813,3665,9440,9709,19840,11497
"ZT3D7_G9727",186,1135,302,100,116,93,205,228,330,289,1728,989
"ZT3D7_G9728",806,663,373,816,988,899,1020,1051,517,416,1013,650
"ZT3D7_G9729",590,631,614,837,867,746,597,447,637,641,978,618
"ZT3D7_G9730",517,61,517,120,112,102,556,392,583,494,109,72
"ZT3D7_G9731",188,100,361,476,634,499,231,180,399,402,188,83
"ZT3D7_G9732",2,38,79,32,14,11,4,9,78,48,72,26
"ZT3D7_G9733",1492,2092,1584,3004,3255,3409,1748,1506,1836,1395,3635,1874
"ZT3D7_G9734",15,392,600,2,2,2,4,11,654,522,510,326
"ZT3D7_G9735",122,48,71,216,228,224,104,148,80,70,72,39
"ZT3D7_G9736",268,144,185,376,403,346,206,261,186,106,275,141
"ZT3D7_G9737",1,19,15,0,0,0,0,4,17,17,25,10
"ZT3D7_G9738",280,346,134,566,623,587,215,277,114,152,660,327
"ZT3D7_G9739",786,539,616,490,600,619,832,874,600,418,1001,494
"ZT3D7_G9740",2801,2222,3952,2729,2419,2036,2651,2960,3962,3479,2821,1703
"ZT3D7_G9741",1011,441,1319,1369,1579,1262,1243,1123,1246,1067,701,440
"ZT3D7_G9742",9,67,142,11,8,14,29,19,127,106,80,41
"ZT3D7_G9743",816,330,525,632,667,642,670,690,681,490,536,280
"ZT3D7_G9744",1032,795,618,1067,1002,986,880,1101,663,501,1090,611
"ZT3D7_G9745",22,2,38,44,49,38,29,26,36,54,11,8
"ZT3D7_G9746",1698,730,240,1720,2287,1759,1562,1604,294,242,1440,973
"ZT3D7_G9747",0,4,25,0,0,0,0,0,18,27,6,3
"ZT3D7_G9748",0,1,3,0,1,0,0,0,3,10,2,1
"ZT3D7_G9749",0,11,23,0,2,3,0,0,30,37,22,13
"ZT3D7_G9750",4,16,90,5,1,2,4,0,107,76,30,16
"ZT3D7_G9751",29522,13247,10608,23069,17096,12776,29773,36879,11788,7591,16676,9287
"ZT3D7_G9752",51,36,237,27,30,14,33,70,275,187,73,62
"ZT3D7_G9753",33,13,18,17,24,15,11,31,14,9,23,25
"ZT3D7_G9754",327,664,417,1092,1188,1052,316,297,464,427,1109,517
"ZT3D7_G9755",775,795,229,181,260,187,819,707,268,206,1300,863
"ZT3D7_G9756",2876,459,212,1780,2523,2277,3155,2759,257,184,700,468
"ZT3D7_G9757",815,1762,1263,2180,2557,2233,932,934,1192,1121,2892,1580
"ZT3D7_G9758",342,318,420,229,231,184,356,478,351,335,420,220
"ZT3D7_G9759",327,139,363,128,222,191,427,338,392,316,249,143
"ZT3D7_G9760",3107,15408,2984,14909,17270,14752,3216,3404,2986,2779,25475,14953
"ZT3D7_G9761",2207,1407,2862,4907,4730,3535,2307,2048,3556,2890,2016,1164
"ZT3D7_G9762",472,456,432,1395,1209,1037,412,456,609,499,622,303
"ZT3D7_G9763",372,298,408,697,793,763,443,336,461,374,511,222
"ZT3D7_G9764",336,67,195,75,135,130,264,306,256,182,87,48
"ZT3D7_G9765",140,50,202,50,56,66,101,89,221,200,85,63
"ZT3D7_G9766",230,45,30,242,270,254,226,141,39,45,79,58
"ZT3D7_G9767",1276,1735,1333,2344,2255,1921,1149,1123,1477,1379,2545,1343
"ZT3D7_G9768",313,172,160,253,332,288,295,319,239,179,336,228
"ZT3D7_G9769",1245,583,914,940,1261,1172,1193,943,1032,778,986,496
"ZT3D7_G9770",369,173,1385,90,107,103,380,324,1629,1303,232,147
"ZT3D7_G9771",447,922,795,741,736,715,417,460,807,674,1304,745
"ZT3D7_G9772",404,365,532,555,748,576,424,355,781,520,582,374
"ZT3D7_G9773",327,176,286,427,441,337,292,230,336,273,245,127
"ZT3D7_G9774",4620,1607,1580,6895,6532,5005,5210,5471,1641,1317,2086,1278
"ZT3D7_G9775",299,377,998,945,1120,956,340,299,1217,1031,568,342
"ZT3D7_G9776",576,314,750,520,520,396,503,460,904,786,416,286
"ZT3D7_G9777",129,104,204,159,164,121,78,134,246,209,153,88
"ZT3D7_G9778",401,260,474,470,510,466,456,444,562,467,446,260
"ZT3D7_G9779",515,527,617,900,881,792,540,423,835,705,981,497
"ZT3D7_G9780",3792,1829,2826,3222,3905,3162,3845,3841,3164,2805,2914,1784
"ZT3D7_G9781",493,610,790,709,1119,730,432,427,916,857,1040,606
"ZT3D7_G9782",1721,1651,4607,1922,1951,1671,1728,1479,5529,4292,2249,1366
"ZT3D7_G9783",54,23,334,23,26,27,50,30,407,303,25,24
"ZT3D7_G9784",107,185,279,261,256,233,111,81,292,286,377,152
"ZT3D7_G9785",97,737,207,374,386,357,87,102,163,141,953,681
"ZT3D7_G9786",755,4907,37,22082,20221,17731,453,1130,79,30,6070,4054
"ZT3D7_G9787",484,2356,682,5779,5362,4415,450,435,1174,767,3736,1998
"ZT3D7_G9788",604,460,427,742,798,713,414,660,382,277,528,339
"ZT3D7_G9789",407,62,172,152,187,152,260,368,177,156,113,56
"ZT3D7_G9790",15,141,235,88,91,90,10,28,392,217,220,154
"ZT3D7_G9791",249,422,528,275,276,250,266,233,740,495,761,487
"ZT3D7_G9792",991,1463,1038,952,1017,995,1115,1168,1003,747,1875,1048
"ZT3D7_G9793",4824,1187,2897,3218,3899,4014,4119,4232,4704,2658,1883,965
"ZT3D7_G9794",890,2764,1233,1849,1909,1586,615,827,929,977,4449,2518
"ZT3D7_G9795",925,2278,2314,2234,2300,2112,802,928,2422,2086,3498,1984
"ZT3D7_G9796",2455,295,913,280,262,261,2436,3294,1082,868,453,194
"ZT3D7_G9797",1017,414,403,1478,1339,1030,640,1525,410,359,526,337
"ZT3D7_G9798",17,43,93,3,0,2,5,14,106,91,34,24
"ZT3D7_G9799",496,1498,1182,2125,1787,1700,544,526,1206,1183,2141,1126
"ZT3D7_G9800",83,15,106,60,91,70,69,74,127,86,15,8
"ZT3D7_G9801",1931,2542,4107,4474,3999,3332,1815,2148,3888,3845,3370,1767
"ZT3D7_G9802",144,97,174,85,80,65,151,134,249,161,140,83
"ZT3D7_G9803",188,246,215,119,151,141,210,137,241,197,376,195
"ZT3D7_G9804",419,143,181,265,290,247,319,380,221,184,273,166
"ZT3D7_G9805",280,180,114,300,301,313,198,316,113,93,293,131
"ZT3D7_G9806",581,68,150,143,151,106,453,506,176,130,141,72
"ZT3D7_G9807",536,892,904,1484,1205,1017,412,580,1037,803,1317,737
"ZT3D7_G9808",498,193,257,338,338,404,504,407,282,221,311,146
"ZT3D7_G9809",74,30,117,59,56,58,40,60,114,87,52,40
"ZT3D7_G9810",231,340,483,298,392,301,192,188,587,454,482,293
"ZT3D7_G9811",381,854,1276,529,504,462,436,488,1371,1106,1213,608
"ZT3D7_G9812",328,260,452,307,338,282,376,281,509,448,461,245
"ZT3D7_G9813",385,709,258,585,824,740,343,385,309,234,1360,717
"ZT3D7_G9814",35,901,445,256,273,201,53,38,524,456,1266,755
"ZT3D7_G9815",76,57,121,48,63,56,113,114,127,111,67,41
"ZT3D7_G9816",378,539,465,578,580,548,427,450,467,396,871,445
"ZT3D7_G9817",1717,2011,1358,2157,3268,2782,1913,1733,1470,1193,3537,2119
"ZT3D7_G9818",9,1,10,3,5,4,15,16,10,19,6,4
"ZT3D7_G9819",14,6,17,13,10,10,11,16,18,31,6,4
"ZT3D7_G9820",20,0,30,14,11,6,18,12,19,23,7,4
"ZT3D7_G9821",11,1,13,7,4,6,11,23,17,7,3,3
"ZT3D7_G9822",519,1129,477,1000,993,807,527,602,477,477,1569,884
"ZT3D7_G9823",177,140,254,307,313,247,125,183,229,201,167,105
"ZT3D7_G9824",138,23,127,10,10,14,105,73,145,133,36,24
"ZT3D7_G9825",950,890,1039,2081,1621,1581,769,807,1245,1028,1518,709
"ZT3D7_G9826",849,952,1051,1423,1510,1440,850,916,1201,916,1368,773
"ZT3D7_G9827",103,180,71,275,286,250,102,101,59,65,268,164
"ZT3D7_G9828",113,37,110,39,65,78,98,54,128,101,61,34
"ZT3D7_G9829",262,302,355,539,515,413,249,212,423,379,468,247
"ZT3D7_G9830",607,746,579,1670,1961,1431,468,584,887,682,1015,714
"ZT3D7_G9831",2949,2631,1653,6701,8338,7232,3276,3052,1950,1497,4648,2641
"ZT3D7_G9832",88,173,74,126,144,144,135,128,84,56,227,139
"ZT3D7_G9833",273,765,448,511,601,526,267,249,551,468,1289,624
"ZT3D7_G9834",183,322,365,322,390,336,212,196,407,332,571,359
"ZT3D7_G9835",2087,2927,4256,2529,2479,2225,2210,2156,4440,4009,3701,2006
"ZT3D7_G9836",406,318,190,407,321,284,427,566,118,198,536,242
"ZT3D7_G9837",1036,1905,1951,2074,1899,1771,951,1371,1796,1713,2735,1648
"ZT3D7_G9838",95,848,104,149,168,138,83,107,146,118,1283,496
"ZT3D7_G9839",521,169,1110,159,253,206,572,346,2279,1375,276,145
"ZT3D7_G9840",1202,1015,3400,1606,1948,2006,1345,1056,5067,3462,1642,879
"ZT3D7_G9841",251,157,672,203,237,227,266,154,1064,851,267,155
"ZT3D7_G9842",422,242,479,297,375,318,375,322,736,527,367,187
"ZT3D7_G9843",2100,905,4917,1592,2056,1917,2736,1755,7555,6183,1547,842
"ZT3D7_G9844",488,291,879,395,555,386,501,396,1634,1082,474,284
"ZT3D7_G9845",1161,2853,2920,1852,1793,1643,1238,1035,4619,3132,3322,1983
"ZT3D7_G9846",760,911,558,1223,1275,1197,1205,827,605,478,1511,711
"ZT3D7_G9847",694,834,1027,1809,1632,1249,784,675,1166,1021,1131,537
"ZT3D7_G9848",1777,3336,3212,4922,5756,5064,1971,2230,3566,2550,4289,3484
"ZT3D7_G9849",323,310,655,420,405,387,427,423,614,636,412,219
"ZT3D7_G9850",423,709,607,543,553,480,414,443,635,521,1018,471
"ZT3D7_G9851",98,193,58,34,58,44,150,180,50,41,368,121
"ZT3D7_G9852",1139,365,674,754,856,635,976,1018,799,697,616,308
"ZT3D7_G9853",552,376,600,643,529,451,412,539,375,525,594,262
"ZT3D7_G9854",391,257,418,314,392,348,258,376,338,336,386,247
"ZT3D7_G9855",85,88,144,142,104,99,105,107,182,134,98,71
"ZT3D7_G9856",7575,9594,5517,10496,9866,9118,5594,8459,5961,4040,12093,7393
"ZT3D7_G9857",476,642,576,979,805,713,405,603,562,442,798,466
"ZT3D7_G9858",3329,393,862,4740,6936,6069,4344,3912,1034,798,635,336
"ZT3D7_G9859",515,703,1203,611,608,604,560,497,1225,957,1012,617
"ZT3D7_G9860",0,108,94,0,0,1,0,0,112,86,161,107
"ZT3D7_G9861",33,40,86,58,82,49,41,32,101,87,61,28
"ZT3D7_G9862",27,6,16,20,10,17,28,24,25,12,12,16
"ZT3D7_G9863",225,116,34,31,35,25,193,176,47,49,152,106
"ZT3D7_G9864",915,77,498,54,67,60,912,807,587,441,129,72
"ZT3D7_G9865",3,1,11,3,7,0,2,2,11,12,1,2
"ZT3D7_G9866",261,426,355,252,277,258,340,310,315,275,623,329
"ZT3D7_G9867",931,866,799,1537,1719,1603,1114,916,945,727,1531,836
"ZT3D7_G9868",2647,5378,3001,8116,9232,7610,2547,3303,2985,2173,7918,5480
"ZT3D7_G9869",1446,1009,2445,2086,2668,2510,1506,1324,2617,2573,1973,1038
"ZT3D7_G9870",1061,830,587,1150,1216,1134,966,903,628,619,1383,755
"ZT3D7_G9871",458,189,109,216,135,218,362,534,135,114,293,164
"ZT3D7_G9872",414,15,209,103,42,73,419,425,209,186,21,12
"ZT3D7_G9873",856,1407,1075,1362,1519,1515,963,1328,1193,851,1981,1176
"ZT3D7_G9874",1125,3880,863,3544,3274,2858,1126,1515,854,727,5749,2820
"ZT3D7_G9875",0,17,55,0,0,0,0,5,55,50,29,25
"ZT3D7_G9876",0,28,67,0,0,0,0,0,74,55,63,40
"ZT3D7_G9877",0,3,16,2,1,1,0,0,17,5,8,4
"ZT3D7_G9878",0,93,198,0,0,0,0,0,196,175,123,85
"ZT3D7_G9879",70,301,613,83,91,94,70,68,660,558,399,233
"ZT3D7_G9880",1005,421,443,427,584,592,1056,1049,478,309,609,363
"ZT3D7_G9881",602,562,175,427,459,408,417,574,164,133,726,426
"ZT3D7_G9882",9256,7656,11523,2337,2814,2644,7823,10703,10442,8074,11093,7037
"ZT3D7_G9883",332,59,148,48,58,43,252,354,204,136,47,43
"ZT3D7_G9884",590,352,989,969,1118,1004,717,584,1389,898,742,417
"ZT3D7_G9885",57,40,121,64,53,37,74,62,129,83,30,27
"ZT3D7_G9886",2986,12,233,23,18,23,2627,2925,189,121,26,14
"ZT3D7_G9887",8750,2158,6530,4238,5319,5000,10042,9044,6306,4792,4642,2365
"ZT3D7_G9888",169,224,539,271,267,278,231,234,424,477,241,158
"ZT3D7_G9889",1218,1732,1510,2333,2454,2058,1242,1176,1423,1253,2967,1406
"ZT3D7_G9890",871,1037,1584,865,939,826,1099,739,2244,1730,1900,817
"ZT3D7_G9891",205,701,295,669,721,694,198,224,290,280,1006,622
"ZT3D7_G9892",1279,1534,905,2920,2512,2461,1268,1415,825,763,2240,1154
"ZT3D7_G9893",9047,5088,8689,9671,12848,12477,13104,8783,8406,4871,9117,5057
"ZT3D7_G9894",6209,1160,5948,2692,3616,3697,11043,5659,15050,7296,2667,1234
"ZT3D7_G9895",499,699,576,593,638,525,385,589,510,387,881,632
"ZT3D7_G9896",463,769,619,656,798,833,503,550,671,504,1202,646
"ZT3D7_G9897",526,667,807,594,652,624,487,544,768,761,1107,557
"ZT3D7_G9898",919,2068,2254,4731,5066,4741,1104,913,2320,1776,4035,2160
"ZT3D7_G9899",234,326,903,309,538,399,386,268,1068,865,663,366
"ZT3D7_G9900",154,302,393,240,184,166,104,247,294,321,344,184
"ZT3D7_G9901",1139,615,1259,983,855,714,1166,1109,1212,1199,885,464
"ZT3D7_G9902",657,10,1723,23,42,27,426,411,1567,1224,15,6
"ZT3D7_G9903",122,87,111,112,96,120,212,134,117,93,154,72
"ZT3D7_G9904",21,14,66,3,5,6,26,25,90,41,12,10
"ZT3D7_G9905",337,702,2219,905,683,639,233,213,1712,1977,960,468
"ZT3D7_G9906",187,304,304,170,208,150,138,144,358,320,438,261
"ZT3D7_G9907",10154,15204,11448,11613,16555,15108,11167,10386,11617,9328,25023,14624
"ZT3D7_G9908",1255,545,1189,673,826,622,1426,1209,1243,1184,1070,494
"ZT3D7_G9909",14748,17565,11128,9488,12598,10440,14692,17108,11051,9263,25245,16204
"ZT3D7_G9910",234,352,407,418,518,459,345,262,568,399,541,288
"ZT3D7_G9911",289,188,206,228,213,235,211,276,227,184,265,155
"ZT3D7_G9912",98,134,136,125,107,91,60,88,161,128,219,119
"ZT3D7_G9913",328,387,579,483,507,496,351,344,579,476,647,328
"ZT3D7_G9914",940,2591,1774,2663,2412,2249,973,1152,1837,1471,4130,2017
"ZT3D7_G9915",70,140,202,353,474,383,53,58,193,139,243,145
"ZT3D7_G9916",794,344,960,501,502,432,590,752,967,778,467,297
"ZT3D7_G9917",241,143,475,238,271,221,358,235,606,442,264,121
"ZT3D7_G9918",230,40,576,71,81,78,213,252,606,457,60,44
"ZT3D7_G9919",803,712,827,942,994,859,651,663,801,641,1133,595
"ZT3D7_G9920",619,1468,3091,1688,2266,1683,604,510,3684,3071,2395,1375
"ZT3D7_G9921",351,713,446,917,1185,958,282,253,582,527,1194,724
"ZT3D7_G9922",904,1028,1104,929,1271,1186,1204,1057,1119,947,1803,944
"ZT3D7_G9923",492,471,1503,703,685,691,349,444,1575,1360,704,395
"ZT3D7_G9924",50,6,43,10,21,17,39,33,59,50,9,8
"ZT3D7_G9925",1317,1773,1020,2317,3001,2788,1570,1224,1110,1024,3164,1892
"ZT3D7_G9926",367,177,104,239,303,241,391,348,148,126,380,191
"ZT3D7_G9927",351,274,390,384,372,481,473,372,389,361,450,250
"ZT3D7_G9928",550,274,766,464,622,490,497,464,959,722,442,243
"ZT3D7_G9929",30,7,104,6,16,12,17,21,114,104,5,5
"ZT3D7_G9930",323,332,550,486,583,548,411,301,520,395,491,312
"ZT3D7_G9931",151,145,288,135,147,117,107,115,274,200,187,133
"ZT3D7_G9932",926,402,1388,473,534,444,1053,667,1484,1296,718,341
"ZT3D7_G9933",356,1029,907,897,820,663,302,329,924,897,1214,708
"ZT3D7_G9934",143,20,165,30,38,36,139,101,245,173,29,18
"ZT3D7_G9935",470,27,235,30,43,42,423,416,362,247,62,36
"ZT3D7_G9936",274,300,342,260,384,341,297,336,399,320,489,317
"ZT3D7_G9937",571,434,378,678,832,672,374,463,373,373,766,420
"ZT3D7_G9938",109,195,133,203,339,269,84,109,157,123,366,182
"ZT3D7_G9939",847,661,595,681,1023,832,895,872,606,578,1136,644
"ZT3D7_G9940",37,77,85,158,126,120,39,42,62,65,101,66
"ZT3D7_G9941",467,1317,3127,1959,1967,1902,529,481,2612,2700,2180,1264
"ZT3D7_G9942",120,5,62,117,144,102,182,78,46,87,20,15
"ZT3D7_G9943",162,294,376,260,313,257,227,179,374,306,503,287
"ZT3D7_G9944",36,14,147,24,48,26,26,52,182,155,25,18
"ZT3D7_G9945",49,168,463,148,154,143,41,33,577,450,308,178
"ZT3D7_G9946",669,290,760,1202,1378,1474,911,608,1153,766,503,221
"ZT3D7_G9947",119,183,294,204,245,231,106,145,286,270,260,122
"ZT3D7_G9948",306,465,507,330,438,384,334,285,658,439,700,374
"ZT3D7_G9949",465,1442,1333,1733,2132,1848,419,408,1618,1487,2250,1327
"ZT3D7_G9950",430,231,398,651,571,512,354,311,413,373,436,207
"ZT3D7_G9951",79,100,112,143,159,148,62,57,125,108,187,81
"ZT3D7_G9952",563,676,409,970,1091,1226,582,511,425,445,1216,606
"ZT3D7_G9953",1131,2437,1892,2568,2816,2563,1134,1362,1982,1570,4030,2066
"ZT3D7_G9954",215,201,334,174,193,196,249,226,386,323,357,169
"ZT3D7_G9955",350,357,482,580,686,600,448,350,544,525,637,342
"ZT3D7_G9956",2154,3516,1825,3746,3411,3202,1736,2818,1588,1378,4474,2916
"ZT3D7_G9957",3308,4857,2612,6536,7806,7192,3375,3961,2618,2188,8210,4834
"ZT3D7_G9958",1694,613,2500,751,833,784,2074,1896,2452,2482,1036,540
"ZT3D7_G9959",649,225,1619,342,380,320,816,592,4378,1989,416,219
"ZT3D7_G9960",187,140,332,234,236,200,271,229,364,265,252,160
"ZT3D7_G9961",1282,1189,4462,1828,1786,1728,1126,1402,4120,3691,1616,854
"ZT3D7_G9962",862,286,1173,361,467,464,896,786,1300,995,442,264
"ZT3D7_G9963",305,184,272,248,253,181,174,231,307,271,283,136
"ZT3D7_G9964",131,119,124,90,127,80,113,156,161,167,207,115
"ZT3D7_G9965",388,710,1750,1250,1627,1332,469,337,2632,1956,1199,699
"ZT3D7_G9966",2915,2340,2517,2427,3181,2819,3980,3244,3226,2379,3958,2156
"ZT3D7_G9967",383,240,607,494,565,559,466,480,633,578,370,212
"ZT3D7_G9968",14,18,12,37,29,42,13,20,32,14,48,27
"ZT3D7_G9969",273,92,169,232,264,202,215,202,213,153,158,85
"ZT3D7_G9970",7,5,1,6,2,1,6,3,11,4,3,2
"ZT3D7_G9971",0,212,433,0,1,2,0,3,550,434,327,197
"ZT3D7_G9972",0,33,97,0,1,1,0,1,181,125,59,24
"ZT3D7_G9973",0,76,90,0,0,0,0,0,145,128,107,56
"ZT3D7_G9974",0,49,48,0,0,0,0,0,51,67,75,40
"ZT3D7_G9975",0,129,174,0,0,0,0,1,220,143,178,103
"ZT3D7_G9976",0,115,198,0,0,0,0,0,226,161,113,72
"ZT3D7_G9977",0,72,185,0,0,0,0,0,249,183,143,72
"ZT3D7_G9978",0,63,77,0,0,0,0,0,74,57,121,54
"ZT3D7_G9979",0,181,133,1,0,1,1,1,149,111,280,111
"ZT3D7_G9980",1,329,745,0,1,5,0,1,918,823,490,307
"ZT3D7_G9981",231,1193,1157,181,165,121,300,180,1125,1003,1968,893
"ZT3D7_G9982",0,166,124,0,0,0,0,9,98,120,218,93
"ZT3D7_G9983",0,101,106,0,0,0,0,4,88,92,146,93
"ZT3D7_G9984",0,1308,1727,0,0,0,0,2,1798,1603,2340,1422
"ZT3D7_G9985",748,539,531,785,713,705,594,675,481,406,800,450
"ZT3D7_G9986",316,438,299,774,641,574,227,360,314,225,629,315
"ZT3D7_G9987",117,96,56,141,127,139,81,108,62,48,182,79
"ZT3D7_G9988",36,16,54,17,15,15,10,22,63,57,20,18
"ZT3D7_G9989",482,14,125,360,421,371,398,494,139,109,25,19
