"","3D7_vitro_MM_rep3","3D1_vitro_YSB_rep3","3D1_vitro_MM_rep2","3D7_vitro_YSB_rep1","3D7_vitro_YSB_rep3","3D7_vitro_YSB_rep2","3D7_vitro_MM_rep1","3D7_vitro_MM_rep2","3D1_vitro_MM_rep1","3D1_vitro_MM_rep3","3D1_vitro_YSB_rep1","3D1_vitro_YSB_rep2"
"ZT3D7_G4199",119,60,122,94,127,78,112,97,126,138,139,60
"ZT3D7_G4200",94,55,220,98,86,75,64,84,243,199,118,73
"ZT3D7_G4201",3,1,3,0,0,0,3,5,0,0,2,0
"ZT3D7_G4202",6,3,3810,8,11,5,12,11,3500,3189,4,5
"ZT3D7_G4203",25,21,1978,32,22,16,22,38,1662,1714,33,17
"ZT3D7_G4204",125,130,836,228,233,207,59,87,981,1082,170,102
"ZT3D7_G4205",236,31,378,115,122,107,122,267,386,357,31,24
"ZT3D7_G4206",729,884,255,1116,1267,1286,585,606,253,241,1611,815
"ZT3D7_G4207",2182,2400,1659,1287,1721,1695,2327,2264,1539,1099,3539,1774
"ZT3D7_G4208",485,261,1142,456,490,415,514,537,1231,912,378,202
"ZT3D7_G4209",235,356,549,459,511,471,231,331,555,432,507,300
"ZT3D7_G4210",37,69,236,94,105,114,59,59,205,171,101,68
"ZT3D7_G4211",27,28,85,34,23,43,37,42,117,59,43,19
"ZT3D7_G4212",293,240,556,361,345,366,346,356,512,421,431,175
"ZT3D7_G4213",2009,5060,1785,11217,10385,9920,2139,3408,1722,1379,7677,4609
"ZT3D7_G4214",415,456,685,274,392,360,417,446,648,468,949,462
"ZT3D7_G4215",817,1485,1211,1161,1265,1120,879,1326,1081,921,1669,958
"ZT3D7_G4216",496,683,1087,662,824,757,650,632,1068,798,1142,598
"ZT3D7_G4217",135,144,365,551,543,538,118,98,461,261,273,134
"ZT3D7_G4218",4548,5608,4915,4592,4092,3525,4472,4951,5198,4523,8037,4128
"ZT3D7_G4219",1457,2351,2474,2255,2931,2520,1474,1954,2486,1966,3326,2048
"ZT3D7_G4220",64,23,186,20,27,10,57,36,204,173,16,21
"ZT3D7_G4221",449,423,6160,182,191,136,384,249,5921,6494,576,300
"ZT3D7_G4222",84,109,3248,306,585,484,65,71,3849,2966,134,81
"ZT3D7_G4223",2479,715,1213,1192,1447,1226,2736,2800,1318,1248,1091,675
"ZT3D7_G4224",615,438,507,472,545,468,629,730,484,403,700,348
"ZT3D7_G4225",168,1047,264,1951,2369,2307,159,201,319,272,1607,968
"ZT3D7_G4226",1089,1306,782,2900,3326,3262,980,1149,857,841,2450,1204
"ZT3D7_G4227",120,92,1321,66,79,73,129,110,794,1528,133,89
"ZT3D7_G4228",433,133,1231,156,188,176,346,519,806,1067,210,148
"ZT3D7_G4229",25,10,54,50,71,82,14,14,47,41,18,13
"ZT3D7_G4230",7808,7259,4731,4336,5380,4321,7184,8561,4368,3951,9773,5840
"ZT3D7_G4231",187,130,259,141,159,123,174,187,260,215,177,94
"ZT3D7_G4232",278,109,978,366,292,279,278,236,1114,973,210,98
"ZT3D7_G4233",33,21,108,19,24,26,59,55,111,84,31,17
"ZT3D7_G4234",222,117,415,138,140,95,146,239,562,418,145,91
"ZT3D7_G4235",178,158,361,149,194,165,198,244,381,293,255,149
"ZT3D7_G4236",119,385,325,494,454,437,111,120,449,344,612,392
"ZT3D7_G4237",276,69,177,219,272,245,266,223,174,146,84,61
"ZT3D7_G4238",316,122,237,275,306,241,231,214,291,258,218,106
"ZT3D7_G4239",318,349,401,404,411,327,230,391,466,271,469,283
"ZT3D7_G4240",508,715,731,1097,1119,1063,535,630,728,619,1254,635
"ZT3D7_G4241",139,35,385,124,151,153,129,127,679,408,76,30
"ZT3D7_G4242",96,47,386,94,102,102,115,100,691,454,57,40
"ZT3D7_G4243",73,113,306,62,87,89,52,70,434,311,145,92
"ZT3D7_G4244",228,602,298,2391,2491,3001,185,153,299,250,908,498
"ZT3D7_G4245",915,983,663,1068,1045,879,768,1064,794,551,1389,912
"ZT3D7_G4246",245,374,296,293,244,201,211,319,308,217,512,294
"ZT3D7_G4247",1054,418,929,735,963,908,1154,992,1017,859,783,438
"ZT3D7_G4248",448,376,679,430,460,405,373,523,666,478,543,284
"ZT3D7_G4249",72,696,201,911,1004,867,106,73,159,158,1035,514
"ZT3D7_G4250",131,548,487,586,536,430,84,120,585,488,922,418
