genes logFC logCPM PValue
ZT3D7_G261 0.551963289195751 4.23712129596755 9.79972786735322e-06
ZT3D7_G262 -0.153069749831107 8.98277347264317 0.17868320477922
ZT3D7_G263 0.0975164273750067 3.72052407553491 0.543057591773613
ZT3D7_G264 0.537741258622625 4.47517234789899 4.54750729493468e-05
ZT3D7_G265 0.973566737881106 4.16410267199569 1.55429408168982e-10
ZT3D7_G266 -1.87212200528952 5.2959850544195 6.77773948785497e-51
ZT3D7_G268 0.213389124203615 6.0490501661013 0.0536614846133426
ZT3D7_G269 0.493610726655544 5.44791586974414 1.93926641837155e-06
ZT3D7_G270 0.0312951634930929 5.69493357850479 0.770818788319723
ZT3D7_G273 -0.242354968239665 6.04254776275503 0.0304780023800927
ZT3D7_G274 -0.0086847165961817 3.91992410114571 0.986908531191507
ZT3D7_G276 2.50123582452624 6.37862001914495 6.15332945826126e-68
ZT3D7_G277 -0.189392192662198 3.8097819364477 0.187287487908197
ZT3D7_G278 1.06898001131668 5.95010498119845 5.36651813982287e-21
ZT3D7_G279 -0.0131838867665273 6.80230028774379 0.908154815239686
ZT3D7_G280 -1.08357305990307 3.68261691465129 9.59081850188698e-12
ZT3D7_G282 0.0808154743429403 7.75676038419504 0.44234483424327
ZT3D7_G283 -0.443476038336268 7.8269095723459 8.62755047883897e-05
ZT3D7_G284 0.0759014405642245 3.65195963803755 0.614842877263877
ZT3D7_G285 0.323832779930005 3.42459363771137 0.0280023675775879
ZT3D7_G286 0.00548673367940444 4.47561437237004 1
ZT3D7_G287 0.0507696708277254 2.94075971569825 0.78338614356075
ZT3D7_G288 -0.52374755814088 4.69031573633247 1.3423090020266e-05
ZT3D7_G290 -0.108860567990056 4.90153556854265 0.348319264810085
ZT3D7_G291 0.282678535578785 6.48266607119745 0.0228796329795038
ZT3D7_G292 0.79234308753611 7.01470049109197 2.77125515468364e-10
ZT3D7_G293 -0.287327636294065 5.74564038916083 0.0144449883883426
ZT3D7_G294 -0.609840767248242 5.92424957137284 7.52129923800088e-08
ZT3D7_G296 -3.45554666488893 5.50215286895878 3.00310179291353e-132
ZT3D7_G301 0.775346246648341 5.43171065317132 1.9731846454269e-10
ZT3D7_G302 -0.912152214409923 4.23252310608556 2.27606803795339e-09
ZT3D7_G305 -0.825560191624445 3.60839228147629 9.86829346580421e-10
ZT3D7_G307 0.223280192026832 7.45754831770645 0.0297484919705113
ZT3D7_G311 -0.465878001903733 4.57273749398408 0.000188170162996248
